age,games,games_started,minutes_played,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,3-point_field_goals_per_game,3-point_field_goal_attempted_per_game,3-point_goal_percentage,2-point_field_goals_per_game,2-point_field_goals_attempted_per_game,2-point_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,3_point_attempt_rate,assist_percentage,block_percentage,defensive_box_plus_minux,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minux,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,turnover_percentage,total_rebound_percentage,true_shooting_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,position_C,position_PF,position_PG,position_SF,position_SG,games_start_percentage,rating
29,30,18,26.4,3.7,8.5,0.441,0.3,0.8,0.32,3.5,7.6,0.454,1.6,1.7,0.922,0.3,2.4,2.7,5,1.1,0,1.3,2.4,9.3,0.098,33.1,0.1,-2,10.7,0.4,0.201,0,1.4,1,14.9,2.1,12.6,6,0.505,18.4,0,0.085,0,0,1,0,0,0.6,72
23,80,80,33.2,5.6,12.3,0.453,0.6,1.7,0.37,4.9,10.6,0.466,1.9,2.4,0.803,0.5,2.3,2.8,5,1.1,0.2,1.7,1.7,13.7,0.14,23,0.4,-0.8,7.3,2.6,0.196,0.4,1.5,3.7,14.9,1.6,11.1,4.5,0.513,19.7,1.1,0.113,0,0,1,0,0,1,85
25,82,54,28.7,4.2,10,0.423,1.5,3.8,0.394,2.7,6.2,0.441,2.5,2.9,0.885,0.4,2.3,2.8,5.5,0.8,0.2,1.7,2.1,12.5,0.383,29.2,0.5,-2,9.2,1.5,0.284,3.5,1.7,6.1,17.6,1.5,13,5.5,0.555,20.4,2.1,0.156,0,0,1,0,0,0.658536585,80
30,59,59,28.8,2.6,6.7,0.389,0.9,2.5,0.378,1.7,4.2,0.396,0.8,1.6,0.479,0.7,2,2.7,1.5,1.1,0.4,1.1,2,7,0.372,8.1,1,1.5,7.9,2.2,0.241,-1.5,2.9,-0.3,8.2,1.9,13,5.5,0.468,13.9,0.8,0.054,0,0,0,1,0,1,75
25,68,2,11.2,1.6,4,0.4,0.2,0.6,0.31,1.4,3.4,0.416,0.7,0.9,0.77,0.4,0.4,0.8,2.1,0.3,0,0.6,0.6,4.1,0.153,31.5,0.2,-4,4,0.2,0.222,-0.4,4.1,0.9,13.9,1.4,12.7,4,0.464,20.5,-0.5,0.065,0,0,1,0,0,0.029411765,73
22,80,80,37.8,6.7,12.6,0.527,0,0,0,6.7,12.6,0.527,4.9,6.6,0.742,5,6.6,11.6,2.4,1,2,2.2,3.2,18.2,0,11,3.7,2.1,19.6,3.7,0.519,4.1,15,9.9,23.6,1.4,12.2,17.3,0.586,21.1,6.2,0.216,0,1,0,0,0,1,88
31,32,28,30.1,4.8,11.4,0.425,0.1,0.7,0.174,4.7,10.7,0.442,2.6,2.6,0.988,0.5,2.4,2.9,8.3,1.6,0.2,1.3,1.5,12.4,0.063,42.8,0.5,-1,9,0.9,0.23,3.2,2.1,2.8,21.2,2.9,9.7,5.6,0.494,20.9,1,0.186,0,0,1,0,0,0.875,75
20,29,5,8.4,0.8,2.4,0.329,0.2,0.9,0.185,0.6,1.5,0.419,0.4,0.7,0.6,0.4,1.3,1.7,0.5,0.6,0.2,0.2,0.6,2.2,0.386,9.8,2.2,2.6,17.9,0.5,0.286,-3.8,4.8,-0.1,11.9,3.8,8.2,11.2,0.4,16,0.1,0.075,0,0,0,1,0,0.172413793,61
19,57,3,14.3,1.6,4.3,0.387,0,0,0,1.6,4.2,0.388,1.2,1.7,0.707,1.1,2.4,3.5,0.8,0.3,0.5,0.8,1.8,4.5,0.004,8.4,2.4,0,19.4,0.8,0.407,-3.5,8.9,0,11.2,1.1,13,14.1,0.45,18.6,-0.3,0.048,0,1,0,0,0,0.052631579,68
33,1,0,6,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,46.4,13,-4.3,0,0,0,-12.5,0,0,8.6,0,0,0,0,7.6,0,0.025,0,0,1,0,0,0,56
