age,games,games_started,minutes_played,field_goals_per_game,field_goal_attempts_per_game,field_goal_percentage,3-point_field_goals_per_game,3-point_field_goal_attempted_per_game,3-point_goal_percentage,2-point_field_goals_per_game,2-point_field_goals_attempted_per_game,2-point_field_goal_percentage,free_throws_per_game,free_throw_attempts_per_game,free_throw_percentage,offensive_rebounds_per_game,defensive_rebounds_per_game,total_rebounds_per_game,assists_per_game,steals_per_game,blocks_per_game,turnovers_per_game,personal_fouls_per_game,points_per_game,3_point_attempt_rate,assist_percentage,block_percentage,defensive_box_plus_minux,defensive_rebound_percentage,defensive_win_shares,free_throw_attempt_rate,offensive_box_plus_minux,offensive_rebound_percentage,offensive_win_shares,player_efficiency_rating,steal_percentage,turnover_percentage,total_rebound_percentage,true_shooting_percentage,usage_percentage,value_over_replacement_player,win_shares_per_48_minutes,position_C,position_PF,position_PG,position_SF,position_SG,games_start_percentage,rating
30,28,0,12.6,1.2,3,0.388,0.9,2.3,0.385,0.3,0.7,0.4,0.3,0.5,0.5,0.3,1.9,2.2,0.4,0.4,0.2,0.7,2.1,3.5,0.765,4.1,1.1,-0.5,15.3,0.3,0.165,-1.6,2.5,0,6.9,1.4,17.2,9.2,0.538,13.6,0,0.042,0,1,0,0,0,0,72
30,77,8,23.3,4,7.8,0.513,0,0,0,4,7.8,0.514,1.6,2.5,0.656,2.3,4,6.3,0.9,0.6,0.7,1.2,2.6,9.6,0.002,7.3,2.2,1,19.7,3.3,0.321,-0.8,11.6,2.5,17.2,1.4,12,15.7,0.542,20.3,1,0.154,0,1,0,0,0,0.103896104,83
25,78,78,40.8,9.2,21.3,0.431,1.8,5.6,0.326,7.3,15.7,0.468,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,0.262,28.6,1.3,1.9,14.8,5.4,0.336,4.9,2.7,6.5,22.9,2.3,9.5,8.9,0.526,31.2,7,0.18,0,0,0,1,0,1,96
25,78,78,40.8,9.2,21.3,0.431,1.8,5.6,0.326,7.3,15.7,0.468,5.5,7.1,0.774,0.9,5.3,6.2,5.7,1.7,0.7,2.6,2.1,25.7,0.262,28.6,1.3,1.9,14.8,5.4,0.336,4.9,2.7,6.5,22.9,2.3,9.5,8.9,0.526,31.2,7,0.18,0,0,0,1,0,1,95
30,76,69,34.9,5,12,0.412,1.2,3.5,0.345,3.8,8.6,0.439,1.7,2.1,0.813,0.4,1.6,2.1,5.1,0.7,0,1.5,2.3,12.8,0.289,24.1,0,-3,5.7,1.1,0.175,0.4,1.4,3,12.4,1.1,10.6,3.5,0.495,18.8,-0.4,0.074,0,0,1,0,0,0.907894737,75
32,68,3,16.4,0.9,2.1,0.43,0.3,0.9,0.323,0.6,1.2,0.513,0.1,0.2,0.625,0.3,2.2,2.5,1.5,0.7,0.3,0.5,1.7,2.2,0.437,13.4,1.2,2.2,15.5,1.5,0.113,-3.1,2,0.5,8.4,2.2,17.2,8.7,0.51,7.1,0.3,0.085,0,0,0,0,1,0.044117647,75
25,53,47,26.1,2.7,7.7,0.35,0.3,1.4,0.25,2.4,6.3,0.372,2.1,2.8,0.767,0.4,1.8,2.1,4.5,1.2,0.2,1.9,2.6,7.8,0.176,27.9,0.7,-1.2,8.6,0.8,0.358,-1.9,1.7,-0.5,10.4,2.5,17.3,5.1,0.44,19,-0.4,0.009,0,0,1,0,0,0.886792453,73
25,43,4,9.8,1.7,3.6,0.455,0,0,0,1.7,3.6,0.458,0.5,0.7,0.821,0.7,1.1,1.8,0.3,0.2,0,0.3,1.5,3.8,0.006,5.4,0.3,-3.4,12.7,0.1,0.179,-2.8,8.3,0.4,11.9,1.1,7.2,10.5,0.49,19.4,-0.4,0.053,0,1,0,0,0,0.093023256,72
25,75,75,24.9,3.7,7.4,0.507,0,0,0,3.7,7.3,0.509,2.3,3.4,0.678,2.6,4.1,6.7,0.7,0.2,1.4,1.5,3.2,9.8,0.004,4.6,4.2,-0.5,18.3,1,0.467,-1.7,12,2.5,15.7,0.4,14.2,15.1,0.552,18.8,-0.1,0.092,1,0,0,0,0,1,80
23,63,22,27,5.3,11.1,0.482,0.1,0.4,0.348,5.2,10.7,0.487,2,3.4,0.6,1.1,3.6,4.7,2,1.2,1.2,2.5,3,12.8,0.033,14.2,3.3,1.2,14.9,2,0.308,-2.3,5,-0.7,15.5,2.4,16.6,10.2,0.511,25.7,0.4,0.036,0,0,0,1,0,0.349206349,79
19,37,2,6.9,0.7,2.1,0.329,0,0,0,0.7,2.1,0.329,0.5,0.6,0.708,0.1,1.1,1.2,0.2,0.1,0.5,0.4,0.8,1.8,0,4.5,5.1,0.9,18.3,0.4,0.316,-10.1,1.4,-0.6,4.7,0.4,15.6,9.9,0.387,19,-0.5,-0.031,1,0,0,0,0,0.054054054,75
28,82,82,34.8,5.2,10.9,0.477,0.1,0.5,0.154,5.1,10.4,0.492,3.1,3.7,0.838,1.2,2.9,4.1,6.9,1.5,0.1,2.7,2.5,13.6,0.044,32.2,0.2,-0.2,9.6,2.9,0.337,1.2,4.1,4.1,16.5,2.2,17.6,6.8,0.541,19.5,2.2,0.119,0,0,1,0,0,1,86
28,56,56,37.3,5.7,10.9,0.524,0.1,0.3,0.263,5.6,10.5,0.532,4.2,5.1,0.812,2.5,6.8,9.3,3.9,1.2,1.2,1.5,3.2,15.6,0.031,16.1,2.3,2,20.4,2.3,0.471,2.5,7.4,6.3,20.7,1.7,10,13.9,0.596,17.4,3.4,0.198,1,0,0,0,0,1,82
24,76,51,30,5.1,10.1,0.505,1.8,4.3,0.433,3.3,5.8,0.558,1.4,2,0.72,0.5,3.5,3.9,2.9,0.7,0.3,1.7,2.6,13.4,0.422,17.8,0.8,0,13.8,2.6,0.196,3,1.9,4.5,16.7,1.3,13.2,7.9,0.614,19.8,2.9,0.148,0,0,0,1,0,0.671052632,82
29,43,43,38.7,6.5,14.8,0.44,2.1,5,0.424,4.4,9.7,0.449,2.6,3.2,0.831,0.8,3.1,3.9,3.4,1.2,0.5,2.1,2.4,17.8,0.341,13.8,0.9,-1.3,8.9,0.8,0.214,1.3,2.3,2.1,14.9,1.6,11.7,5.6,0.55,21.1,0.8,0.084,0,0,0,0,1,1,81
27,23,5,18,2.4,6.2,0.387,0,0,0,2.4,6.2,0.387,1.4,2.4,0.571,3.4,3,6.4,0.3,0.2,1.4,1.2,2.8,6.2,0,3.2,5.8,1.2,19.5,0.9,0.394,-4,22,-0.1,14.2,0.7,13.9,20.8,0.426,21.8,-0.1,0.095,1,0,0,0,0,0.217391304,79
29,74,4,15.9,1.9,3.9,0.502,0,0.1,0.2,1.9,3.8,0.507,1.4,1.8,0.787,1.3,2,3.3,0.6,0.3,0.4,0.9,2.3,5.4,0.017,6.6,2.1,-0.4,14.7,1,0.474,-1.1,10.2,1.6,12.7,0.9,15.4,12.5,0.571,16.1,0.1,0.106,0,1,0,0,0,0.054054054,67
24,70,69,33.9,5.6,13.5,0.414,0.8,2.1,0.399,4.8,11.4,0.417,3.3,4.6,0.73,3.6,7.2,10.8,1.4,0.8,0.5,1.5,2.7,15.4,0.156,6.9,1,-0.7,24.2,2.7,0.337,-1,11,2.6,16.8,1.1,9,17.3,0.495,22.2,0.1,0.107,0,1,0,0,0,0.985714286,80
31,62,1,14.8,2.1,5,0.426,0.7,1.7,0.438,1.4,3.3,0.42,1,1.3,0.763,0.7,1.9,2.6,0.8,0.5,0.3,0.9,1.4,6,0.339,8.5,1.3,-0.8,15.1,0.7,0.258,-1,5.3,0.5,13.7,1.8,13.5,10.1,0.537,19.9,0,0.067,0,0,0,1,0,0.016129032,74
25,49,6,18,2.7,7.4,0.361,0.5,1.9,0.253,2.2,5.5,0.399,1.2,1.6,0.738,0.3,1.7,2,1.3,0.6,0.2,1.2,1.2,7,0.262,12.7,1,-1.3,11.5,0.5,0.22,-3.1,2.1,-0.8,9.9,1.9,12.5,6.8,0.433,23.8,-0.6,-0.016,0,0,0,0,1,0.12244898,75
24,55,4,20.7,2.7,6.7,0.397,1.2,3.2,0.371,1.5,3.5,0.42,1.6,1.9,0.838,0.4,2.4,2.8,1.2,0.5,0.3,1.2,2.8,8.1,0.476,10.3,1.1,-1.2,14.3,0.9,0.285,-1.3,2,0.5,10.9,1.3,14.1,7.9,0.537,19.7,-0.1,0.057,0,1,0,0,0,0.072727273,69
29,68,51,29.7,6.1,12.8,0.478,0,0,0,6.1,12.8,0.479,2,2.4,0.806,1.9,2.5,4.4,1.6,0.5,0.2,1.6,2.8,14.2,0.002,11.3,0.6,-1.6,10.4,0.9,0.19,-0.9,7.2,1.3,14.5,1,10.5,8.7,0.511,24.2,-0.2,0.053,0,0,0,1,0,0.75,73
28,26,0,22.1,2.9,5.8,0.5,0,0.2,0,2.9,5.5,0.521,1.1,1.8,0.63,1.9,2.9,4.8,1.1,0.9,0.5,1.1,3,6.9,0.04,7.6,1.8,1.3,15.1,0.8,0.307,-1.4,9.9,0.4,12.5,2.1,14.6,12.5,0.526,15.5,0.3,0.099,0,1,0,0,0,0,75
30,75,75,34.3,5.7,11.4,0.502,1.3,2.9,0.431,4.5,8.5,0.526,2.8,3.2,0.887,0.8,2.6,3.3,11.5,1,0.1,3.3,1.8,15.5,0.254,49.2,0.2,-2.9,7.6,1.2,0.278,4.5,2.5,9.7,22,1.4,20.3,5.2,0.606,20.5,2.4,0.203,0,0,1,0,0,1,93
22,79,21,20.4,3.6,7.9,0.455,0.6,1.8,0.312,3.1,6.2,0.497,0.9,1.4,0.682,0.7,1.8,2.4,3,1,0,1.5,2.5,8.7,0.225,24.8,0.1,-1.3,9.7,1.3,0.17,0.7,3.7,1.2,14.5,2.5,14.8,6.7,0.51,21.4,0.6,0.074,0,0,1,0,0,0.265822785,83
30,74,69,24.8,2.5,5.7,0.429,0.3,0.7,0.358,2.2,5,0.439,0.7,0.9,0.797,1.1,1.9,3,1.2,0.7,0.2,0.8,1.9,5.9,0.125,7.6,0.7,0,9.4,1.3,0.163,-2.3,4.9,0.6,8.6,1.5,11.8,7.1,0.482,12.7,-0.1,0.05,0,0,0,0,1,0.932432432,69
25,81,38,23.4,3,7.4,0.401,0.3,1.2,0.258,2.7,6.2,0.429,2.1,2.7,0.766,0.9,3.9,4.8,1.5,0.5,0.4,1.7,2.6,8.4,0.161,10.9,1.3,1.7,18.6,3.3,0.369,-3.9,4.1,-0.9,10.1,1,16.2,11.4,0.484,19.7,-0.1,0.062,0,0,0,1,0,0.469135802,80
31,6,0,6.5,0.5,2.7,0.188,0,0,0,0.5,2.7,0.188,0.3,0.3,1,0.2,0.5,0.7,0.8,0.2,0,0.3,0.3,1.3,0,20,0,-1.4,8.7,0,0.125,-10.5,3.1,-0.2,0.6,1.4,10.6,6,0.237,22.8,-0.1,-0.168,0,0,1,0,0,0,70
26,78,78,38.7,8.5,18.5,0.459,1.2,2.9,0.399,7.3,15.6,0.47,7.9,9.1,0.869,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,0.158,14.3,2.9,1.7,24,5.2,0.49,4,3.6,10.3,26.1,1.7,9.1,14,0.578,28.7,5.9,0.248,0,1,0,0,0,1,96
25,64,64,36.3,5.7,12.1,0.473,0.6,1.8,0.308,5.2,10.3,0.502,3.2,4.7,0.695,2.1,8.1,10.2,3.7,0.7,1,2.5,3.3,15.2,0.151,17.9,2.1,1.2,25,1.8,0.385,0.4,6.6,3,17.3,1,15.1,15.9,0.539,20.8,2.1,0.098,0,1,0,0,0,1,86
22,73,73,35.6,6.1,13.7,0.447,0,0,0,6.1,13.7,0.447,2.9,4.7,0.609,3.8,7.1,10.9,0.9,0.8,1.7,1.7,2.9,15.1,0.001,4.3,3.6,0.5,24.1,3.1,0.342,-2.3,11.5,0.9,16.3,1.2,9.8,17.5,0.479,21.8,0.1,0.074,0,1,0,0,0,1,83
25,82,25,28.1,4.3,9.2,0.468,0.2,0.8,0.27,4.1,8.5,0.486,4,4.7,0.85,2.4,5.1,7.5,2,0.4,0.8,1.7,2.8,12.9,0.083,12.8,2.5,0.3,23.4,1.8,0.512,1.6,10.2,5.3,18.9,0.8,13.2,16.6,0.569,21.3,2.3,0.147,1,0,0,0,0,0.304878049,84
25,82,25,28.1,4.3,9.2,0.468,0.2,0.8,0.27,4.1,8.5,0.486,4,4.7,0.85,2.4,5.1,7.5,2,0.4,0.8,1.7,2.8,12.9,0.083,12.8,2.5,0.3,23.4,1.8,0.512,1.6,10.2,5.3,18.9,0.8,13.2,16.6,0.569,21.3,2.3,0.147,1,0,0,0,0,0.304878049,82
32,26,0,6.1,0.4,1.2,0.355,0,0,0,0.4,1.2,0.355,0.2,0.3,0.667,0.1,0.6,0.7,0.7,0.2,0,0.2,0.6,1.1,0,17.9,0,-0.5,11.5,0.1,0.29,-5.8,2.1,-0.1,6.7,1.6,14.6,6.8,0.4,11.5,-0.2,0.025,0,0,1,0,0,0,70
29,62,34,19.6,2.6,5.7,0.456,0,0,0,2.6,5.7,0.456,0.7,1.1,0.667,1.7,3.5,5.2,0.5,0.2,0.9,1.1,3.1,5.9,0,3.7,3.3,0.2,19.6,1.5,0.195,-4.2,10.4,-0.3,10.4,0.7,15.1,15.2,0.48,17.2,-0.6,0.048,1,0,0,0,0,0.548387097,72
31,56,3,9.9,0.7,1.5,0.44,0,0,0,0.7,1.5,0.451,0.2,0.7,0.342,1,2,3,0.7,0.1,0.7,0.4,1.6,1.6,0.024,9,5.1,2.5,22.5,0.7,0.452,-4.2,11,0.1,10,0.6,19.2,16.8,0.432,10,0,0.064,1,0,0,0,0,0.053571429,73
33,39,0,5.5,0.3,0.9,0.353,0,0,0,0.3,0.9,0.353,0.1,0.2,0.556,0.4,0.9,1.4,0.3,0.2,0.3,0.2,0.7,0.7,0,7.7,3.7,3,17.6,0.3,0.265,-4.2,8.4,0,8.1,1.4,17.4,13.2,0.382,9.4,0,0.053,0,1,0,0,0,0,69
20,59,2,13.4,2.3,4.5,0.498,0.1,0.2,0.4,2.2,4.4,0.502,0.8,1.3,0.653,0.7,1.4,2.1,0.6,0.5,0.7,0.7,1.3,5.4,0.037,7.8,3.6,0.1,11.3,0.8,0.281,-2,6.1,0.6,15.4,2,11.5,8.8,0.532,19.6,0,0.085,0,0,0,1,0,0.033898305,71
20,74,4,18.9,2.2,4.8,0.452,0,0,0,2.2,4.8,0.453,1.9,2.5,0.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2,0.003,6.8,1.8,0.7,20.9,1.3,0.523,-1.3,10.9,1.6,14.4,1.7,13.9,15.9,0.526,16.5,0.5,0.099,1,0,0,0,0,0.054054054,76
28,66,0,14.3,1.5,3.5,0.421,0.8,1.9,0.397,0.7,1.6,0.449,0.4,0.6,0.725,0.7,2.1,2.8,0.8,0.5,0.2,0.5,1.8,4.2,0.541,9.5,0.8,1.4,16.7,1.6,0.172,0.1,6,1.2,12.3,1.9,10.7,11.5,0.549,14,0.8,0.141,0,1,0,0,0,0,74
26,80,4,19.2,2.2,4.9,0.446,0,0.2,0.167,2.2,4.8,0.455,1.4,1.9,0.742,0.3,1.4,1.7,3.5,0.6,0.2,1.3,1.6,5.8,0.031,28.8,0.6,-1.8,8.1,0.7,0.395,-2.2,1.9,1,12.5,1.6,18.4,4.9,0.507,16.8,-0.8,0.054,0,0,1,0,0,0.05,72
25,32,0,14.2,2.6,6.7,0.385,0.7,2.1,0.348,1.8,4.6,0.401,0.5,0.7,0.739,0.4,1.1,1.5,2.4,0.5,0,1.4,1.7,6.4,0.31,31.2,0.2,-1,8.6,0.7,0.108,-1.4,3,-0.4,11.1,1.8,16.8,5.8,0.457,26.5,0,0.023,0,0,1,0,0,0,72
23,5,0,6.8,1.4,3,0.467,0.2,0.8,0.25,1.2,2.2,0.545,0,0,0,0.4,0.2,0.6,0.8,0.4,0,1.8,0.6,3,0.267,18.3,0,-2,3,0,0,-7.9,6.6,-0.2,4.3,2.9,37.5,4.7,0.5,30.8,-0.1,-0.218,0,0,1,0,0,0,76
22,80,80,34.2,6.7,14,0.482,0.5,2,0.276,6.2,12,0.516,2.6,4,0.65,0.6,3.1,3.7,6.1,1.2,0.1,2.7,2.1,16.6,0.14,33.2,0.1,0.5,10.7,4.5,0.289,1.9,2,3.6,18,1.9,14.6,6.4,0.528,25.1,3,0.141,0,0,1,0,0,1,88
29,70,36,28,4.6,8.6,0.531,0,0.4,0.08,4.5,8.2,0.55,2.4,4,0.599,1.8,2.1,3.9,2,1.5,0.3,2,2.3,11.6,0.042,12.4,0.8,0.3,8.3,1.6,0.469,0.4,7.7,1.8,15.8,2.9,16.5,8.1,0.558,20.4,1.3,0.083,0,0,0,1,0,0.514285714,75
20,60,3,9.1,0.9,2,0.471,0,0,0,0.9,2,0.471,0.6,1,0.638,0.9,2.1,2.9,0.4,0.2,0.6,0.7,1.6,2.5,0,5.8,5.1,1.5,25.7,0.8,0.487,-4.7,11.5,-0.1,11.2,0.8,22.9,18.7,0.515,15.4,-0.2,0.065,1,0,0,0,0,0.05,75
27,82,61,30.6,4.3,10.3,0.42,1.6,4.1,0.385,2.8,6.3,0.442,2.3,2.8,0.832,0.9,3.3,4.1,2.1,1.1,0.2,1.1,2.7,12.5,0.395,11.2,0.5,-0.5,12.4,1.6,0.267,1.4,3.1,3.5,14.4,1.9,8.9,7.7,0.543,18.9,1.9,0.098,0,0,0,0,1,0.743902439,80
34,68,11,12.4,1.6,3.8,0.43,0.8,2,0.425,0.8,1.8,0.435,0.7,0.8,0.804,0.2,0.9,1.2,0.8,0.4,0,0.5,1,4.8,0.519,10.3,0.1,-0.2,8.5,1.2,0.217,0.1,2,1.1,12.4,1.8,11.6,5.3,0.573,17,0.4,0.129,0,0,0,0,1,0.161764706,70
27,82,82,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.481,6.7,8.1,0.822,1,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6,0.239,20.3,1,0.4,17.8,3.6,0.546,3.9,3.1,7.7,21.8,2.3,13.2,10.6,0.583,26.6,4.7,0.182,0,0,0,1,0,1,95
27,82,82,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.481,6.7,8.1,0.822,1,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6,0.239,20.3,1,0.4,17.8,3.6,0.546,3.9,3.1,7.7,21.8,2.3,13.2,10.6,0.583,26.6,4.7,0.182,0,0,0,1,0,1,97
22,67,3,20,3.2,7.5,0.427,1,2.9,0.344,2.2,4.6,0.48,2.1,3,0.698,1,1.9,2.8,1.2,0.7,0.3,1.4,2.1,9.5,0.389,10.2,1,-1.4,10.5,1,0.403,-0.1,5,1.1,14.2,1.8,13.5,7.7,0.539,22.5,0.2,0.075,0,0,0,1,0,0.044776119,76
22,43,8,12,1.8,4,0.448,0.3,0.9,0.375,1.5,3.1,0.47,1.1,1.5,0.697,0.4,1.2,1.6,1,0.6,0,1,1.8,5,0.23,15.8,0,-0.7,11.9,0.7,0.379,-1.9,4.4,0.1,12.5,2.6,16.8,8.1,0.534,22.2,-0.1,0.073,0,0,1,0,0,0.186046512,71
20,5,0,2,0,0,0,0,0,0,0,0,0,0.2,0.4,0.5,0,0.4,0.4,0,0,0,0.4,0.8,0.2,0,0,0,-2.5,21.9,0,0,-14.3,0,-0.1,-12.1,0,69.4,11.2,0.568,12.9,0,-0.214,1,0,0,0,0,0,64
29,49,17,17.7,1.6,3.4,0.473,0,0,0,1.6,3.4,0.473,0.7,1,0.673,1.7,2.4,4.2,0.4,0.6,0.5,0.6,2.5,3.9,0,3.6,2.1,1.6,16.3,1.2,0.293,-2.4,11.9,0.6,11.2,1.9,14.1,14.1,0.506,12.2,0.3,0.104,1,0,0,0,0,0.346938776,74
28,50,18,27.6,2.5,7.1,0.357,1.1,3.6,0.309,1.4,3.6,0.404,1.9,2.2,0.865,0.9,3.5,4.4,1.8,1,0.5,1.4,2.7,8.1,0.5,10.3,1.3,1.4,15,1.9,0.312,-0.9,3.9,0.4,10.5,1.9,14.6,9.5,0.5,16.2,0.9,0.079,0,0,0,1,0,0.36,80
29,33,1,10.2,1.4,2.6,0.517,0,0,0,1.4,2.6,0.523,0.8,0.9,0.871,0.9,1.5,2.4,0.3,0.2,0.1,0.4,1.6,3.5,0.011,4.5,0.7,-1.5,17.5,0.2,0.356,-0.1,11,0.8,14.5,1.1,10.7,14.2,0.581,15.5,0,0.142,1,0,0,0,0,0.03030303,70
24,82,82,37.1,5.7,11.7,0.487,0.6,1.7,0.341,5.1,10.1,0.512,2.7,3.3,0.807,1.6,3.7,5.3,3,0.7,0.9,1.6,2,14.7,0.143,14.5,1.8,1.2,11.5,4,0.285,1.2,5.2,5.4,16.2,1,11.1,8.4,0.556,18.8,3.4,0.149,0,0,0,1,0,1,83
25,76,50,24.4,2.6,4.4,0.598,0,0,0,2.6,4.4,0.598,1.2,2.3,0.517,2.3,5.4,7.7,1,0.3,2.1,1.3,3.1,6.4,0,6.4,6.2,3,24.5,2.7,0.523,-1.8,11.5,2,15.5,0.7,19.3,18.3,0.596,12.6,1.5,0.121,1,0,0,0,0,0.657894737,80
24,63,0,29.5,4.2,10.3,0.409,2,5.2,0.389,2.2,5.1,0.43,1.3,1.6,0.786,0.8,3.8,4.6,1.4,0.9,0.5,1.3,2.7,11.8,0.506,7.9,1.3,-0.3,15.6,1.3,0.158,1.5,3.4,2.4,13.7,1.7,10.3,9.5,0.533,19.3,1.5,0.096,0,1,0,0,0,0,78
24,63,0,29.5,4.2,10.3,0.409,2,5.2,0.389,2.2,5.1,0.43,1.3,1.6,0.786,0.8,3.8,4.6,1.4,0.9,0.5,1.3,2.7,11.8,0.506,7.9,1.3,-0.3,15.6,1.3,0.158,1.5,3.4,2.4,13.7,1.7,10.3,9.5,0.533,19.3,1.5,0.096,0,1,0,0,0,0,75
23,46,37,34.8,7.2,16.1,0.448,0,0.1,0,7.2,16,0.452,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9,0.008,10.2,0.8,-1.6,20.8,1.5,0.343,-0.6,10.7,1.6,18.6,1.1,11.6,15.9,0.511,27.7,-0.1,0.094,0,1,0,0,0,0.804347826,84
31,63,45,27.5,1.8,4.1,0.447,0,0,0,1.8,4.1,0.447,1.2,1.7,0.692,1.8,3.5,5.3,0.5,0.4,2.5,0.9,2.9,4.8,0,2.9,6.5,3,14.1,1.7,0.416,-3.5,7.7,0.5,10.1,0.7,15.6,11,0.5,9.6,0.7,0.063,1,0,0,0,0,0.714285714,80
32,58,2,16,2.3,4,0.568,0,0,0,2.3,4,0.568,1.3,1.5,0.859,0.8,2.3,3.2,0.4,0.2,0.7,0.8,2.2,5.8,0,4.8,3.3,0,16.9,0.9,0.363,-1.5,6.5,1.4,14,0.8,15.3,11.9,0.625,16,0.1,0.122,1,0,0,0,0,0.034482759,73
25,75,75,38,8.3,18.9,0.441,1.4,3.9,0.355,6.9,15,0.463,4.9,5.8,0.854,1,3.2,4.2,2.3,0.8,0.1,1.8,2,23,0.207,11.4,0.2,-2.7,10,0.7,0.305,2.7,2.9,5.5,18.3,1.2,7.6,6.4,0.536,27.8,1.4,0.105,0,0,0,0,1,1,87
23,23,0,5.3,0.7,1.3,0.517,0,0.1,0,0.7,1.1,0.577,0.5,0.7,0.733,0.3,0.3,0.7,0.4,0.1,0,0.2,0.5,1.8,0.103,12.9,0.6,-1.8,7.6,0.1,0.517,0.1,7.9,0.2,13.7,1.3,12.3,7.7,0.576,15.1,0,0.121,0,0,0,1,0,0,68
24,72,72,37.8,8.5,19,0.446,1.7,5.1,0.338,6.7,13.9,0.486,3,4.3,0.693,1.7,4.2,5.9,3.9,1.5,0.4,2.3,2.2,21.7,0.27,19.2,0.8,-0.3,12.5,2.4,0.226,2.7,4.8,3.3,19,2,10.1,8.5,0.518,27.1,3,0.1,0,0,0,0,1,1,86
24,79,78,35.9,5.2,13.2,0.389,2.9,8,0.358,2.3,5.2,0.437,1.7,2.3,0.739,1.2,4.9,6.1,2,1.2,0.3,1.3,2.5,14.9,0.604,7.9,0.6,-0.1,13.9,2.5,0.176,2,3.6,3.3,13.6,1.7,8.3,9,0.522,18.9,2.8,0.098,0,0,0,0,1,0.987341772,78
23,82,82,31.4,3.6,9,0.405,0.8,2.2,0.376,2.8,6.8,0.414,1.9,2.2,0.883,0.7,1.8,2.5,5.9,1.1,0.3,1.8,2.3,10,0.241,30.6,0.7,-1,7.1,1,0.244,1.4,2.6,4.3,14.6,2,15.4,4.9,0.504,17.4,1.5,0.1,0,0,1,0,0,1,83
24,31,1,10.6,1.2,2.6,0.444,0.1,0.3,0.375,1.1,2.4,0.452,0.6,0.8,0.692,0.5,1.1,1.5,1,0.4,0.1,0.6,1.4,3,0.099,14.4,0.9,-0.1,12.5,0.2,0.321,-3,4.6,0,9.8,1.7,17.8,8.4,0.503,15.2,-0.1,0.037,0,0,0,0,1,0.032258065,70
32,81,65,33.5,6.5,14.3,0.455,1.3,3.4,0.394,5.2,10.9,0.473,4.1,4.8,0.854,0.5,2.9,3.4,2.6,0.8,0.1,2.2,2.3,18.5,0.236,14,0.3,-2.2,9.9,1,0.336,1.4,1.8,3.8,16.6,1.2,11.9,5.8,0.562,25.5,0.8,0.085,0,0,0,1,0,0.802469136,79
30,26,4,23.6,2.8,6.7,0.425,0,0.2,0.167,2.8,6.5,0.435,2.6,3.3,0.782,1.3,3.1,4.4,0.7,0.6,0.3,1.8,3.2,8.3,0.034,4.7,0.9,-1.1,15.4,0.4,0.5,-3.9,6.5,-0.1,9.5,1.3,17.8,10.9,0.511,19.2,-0.5,0.021,0,1,0,0,0,0.153846154,77
23,78,19,21.3,2.1,4.8,0.432,0,0.1,0.25,2.1,4.7,0.434,0.9,1.4,0.673,0.8,1.9,2.7,1.4,0.7,0.3,0.7,2.1,5.1,0.011,10.4,1,0.4,10.6,1.3,0.295,-2.5,4.4,0.4,8.9,1.7,11.4,7.6,0.471,13.3,0,0.05,0,0,0,0,1,0.243589744,67
23,78,19,21.3,2.1,4.8,0.432,0,0.1,0.25,2.1,4.7,0.434,0.9,1.4,0.673,0.8,1.9,2.7,1.4,0.7,0.3,0.7,2.1,5.1,0.011,10.4,1,0.4,10.6,1.3,0.295,-2.5,4.4,0.4,8.9,1.7,11.4,7.6,0.471,13.3,0,0.05,0,0,0,0,1,0.243589744,71
28,79,7,16,0.5,1.3,0.414,0,0,0,0.5,1.2,0.418,0.4,0.8,0.433,2,2.2,4.2,0.8,0.5,0.5,0.6,2.4,1.4,0.01,7.1,2.4,2.5,16.2,1.3,0.677,-2.4,13.5,0.7,8.6,1.8,25.5,14.8,0.432,6,0.7,0.074,1,0,0,0,0,0.088607595,68
24,34,22,25.8,4.5,11.4,0.396,1.4,3.7,0.386,3.1,7.6,0.402,1,1.4,0.761,0.5,1.8,2.3,1.9,0.5,0.2,1.3,2,11.5,0.329,13,0.5,-2.6,8.5,0.3,0.119,-0.7,2.1,-0.1,11,1.1,9.8,5.1,0.48,22.7,-0.3,0.013,0,0,0,0,1,0.647058824,72
25,58,8,17.1,1.5,3.6,0.405,0.5,1.6,0.341,0.9,2.1,0.454,0.6,0.8,0.729,0.2,1.9,2.1,2,0.7,0.2,0.9,1.6,4.1,0.433,17.5,1,0.5,12.5,1.2,0.229,-2.8,1.3,0.2,9.7,2,18.1,6.9,0.511,12.6,-0.1,0.066,0,0,0,0,1,0.137931034,74
21,23,0,14.3,1.2,2.7,0.452,0,0,0,1.2,2.7,0.452,1,1.7,0.59,1.6,3.7,5.3,0.3,0.2,0.7,0.7,2.3,3.4,0,3.7,3.9,0.8,31.6,0.4,0.629,-5,11.9,0.1,11.6,0.6,17.7,21.2,0.499,13,-0.2,0.077,0,1,0,0,0,0,66
