player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Eduardo Najera,SF,26,DAL,48,12,23,2.7,4.8,0.558,0,0,0,2.7,4.8,0.561,0.558,1.3,1.9,0.681,1.9,2.8,4.6,1,0.8,0.5,0.5,2.7,6.7,0.004,6.2,1.5,2.7,1.6,13.3,1.3,0.394,1.1,9,2.7,14.8,1.9,7.8,11.1,0.59,12.1,1.3,4,0.175,69
Ira Newble,SF,28,ATL,73,45,26.5,3.2,6.4,0.495,0.4,1.2,0.381,2.7,5.2,0.52,0.529,1,1.2,0.778,1.2,2.5,3.7,1.4,0.7,0.4,0.9,2.4,7.7,0.18,8.6,0.9,-0.9,-0.7,10.5,0.8,0.193,-0.2,5.3,2.5,11.7,1.4,12,8,0.557,13.7,0.5,3.3,0.081,69
Moochie Norris,PG,29,HOU,82,3,16.8,1.6,4,0.406,0.1,0.5,0.244,1.5,3.5,0.432,0.423,1,1.4,0.684,0.5,1.5,1.9,2.4,0.7,0,1,0.9,4.4,0.136,23.2,0.2,-2.4,-0.4,10,1.3,0.345,-2,3.2,0.5,11.8,2.2,18.4,6.7,0.47,15.6,-0.1,1.7,0.061,69
Erick Strickland,SG,29,IND,71,10,18,2.3,5.4,0.429,0.9,2.3,0.388,1.4,3.1,0.459,0.511,1,1.2,0.805,0.3,1.7,2,2.9,0.5,0.1,1.4,1.6,6.5,0.421,27.2,0.4,-1,-1.4,10.5,1.3,0.229,0.4,2.1,1.4,13.5,1.6,19,6.4,0.547,18.3,0.3,2.7,0.101,69
Rod Strickland,PG,36,MIN,47,8,20.3,2.6,5.9,0.432,0,0.2,0.091,2.5,5.7,0.446,0.433,1.7,2.3,0.738,0.4,1.6,2,4.6,1,0.1,1.6,1.2,6.8,0.04,33.3,0.5,-2.2,-1.2,8.7,0.9,0.385,-1,2.4,0.8,15.4,2.5,18.9,5.6,0.492,19,0,1.7,0.084,69
Etan Thomas,PF,24,WAS,38,0,13.5,1.6,3.3,0.492,0,0,,1.6,3.3,0.492,0.492,1.6,2.5,0.638,1.8,2.5,4.3,0.1,0.2,0.6,0.9,1.7,4.8,0,1,3.4,-5.6,-2.6,22,0.6,0.758,-3,16.1,0.7,15.8,0.8,16.6,19,0.55,18.2,-0.5,1.3,0.125,69
Earl Watson,PG,23,MEM,79,2,17.3,2.2,4.9,0.435,0.4,1.2,0.341,1.8,3.8,0.463,0.474,0.8,1.1,0.721,0.6,1.5,2.1,2.8,1.1,0.2,1.1,1.7,5.5,0.233,25.7,0.7,0.2,-0.1,9.6,1,0.22,0.3,3.8,1.3,14.6,3.4,17,6.7,0.505,17,0.8,2.3,0.08,69
Clarence Weatherspoon,PF,32,NYK,79,19,25.6,2.4,5.2,0.449,0,0,,2.4,5.2,0.449,0.449,1.9,2.5,0.768,2.7,4.9,7.6,0.9,0.9,0.5,0.8,2.2,6.6,0,5.1,1.3,0.5,1.3,22.8,2.2,0.469,-0.9,12.2,3.3,14.5,1.8,11.2,17.4,0.522,12.8,1.3,5.5,0.131,69
Chris Wilcox,PF,20,LAC,46,3,10.4,1.6,3,0.521,0,0,,1.6,3,0.521,0.521,0.5,1.1,0.5,0.7,1.6,2.3,0.5,0.2,0.3,0.6,1.4,3.7,0,7.8,1.8,-4,-1.4,16.9,0.3,0.357,-2.6,7.6,0.3,12.5,0.8,13.8,12.3,0.528,17.7,-0.2,0.6,0.062,69
Walt Williams,SF,32,DAL,66,1,17.6,2,5.2,0.393,1,2.6,0.374,1.1,2.6,0.412,0.487,0.5,0.8,0.62,0.8,2.3,3.1,0.9,0.6,0.4,0.5,2.1,5.5,0.501,7.4,1.7,0.6,0.5,14.6,1.5,0.147,0,5,1,11.7,1.9,8.8,9.8,0.5,15.6,0.8,2.5,0.103,69
Tony Battie,C,27,CLE,50,1,19.5,2.3,5.3,0.427,0,0.2,0.125,2.3,5.2,0.436,0.429,0.9,1.1,0.768,1.6,3.2,4.8,0.7,0.4,0.9,0.8,2.1,5.4,0.03,6.1,3.4,-2.5,0.4,18.3,1,0.21,-2.9,8.9,0.4,12,1,11.8,13.6,0.466,15.2,-0.1,1.4,0.07,69
Steve Blake,PG,23,WAS,75,14,18.6,2.1,5.4,0.386,1,2.7,0.371,1.1,2.7,0.4,0.478,0.7,0.9,0.821,0.2,1.3,1.6,2.8,0.8,0.1,1.7,1.3,5.9,0.496,25.8,0.4,-4,-2.6,8.2,0.7,0.165,-1.4,1.4,0.1,10.9,2.1,22.7,4.7,0.509,17.9,-0.7,0.7,0.026,69
Ryan Bowen,PF,28,DEN,52,1,7.5,0.3,1,0.34,0,0,,0.3,1,0.34,0.34,0.2,0.2,0.833,0.8,0.9,1.7,0.3,0.3,0.3,0.1,0.9,0.9,0,6.4,2.9,0.3,2.6,14,0.5,0.226,-2.3,11.1,0.3,9.9,2.4,9.3,12.5,0.395,7.2,0.2,0.8,0.097,69
Rick Brunson,PG,31,CHI,37,0,10.9,1,2.7,0.376,0.3,0.6,0.478,0.7,2.1,0.346,0.431,0.7,0.8,0.871,0.2,0.8,1,2.2,0.7,0.1,0.9,1.2,3.1,0.228,32.6,0.6,-3.6,-1.3,7.8,0.4,0.307,-2.3,2.4,0.2,12.9,3.2,22.4,5,0.497,16.4,-0.2,0.6,0.073,69
Anthony Carter,PG,28,SAS,5,2,17.4,2.2,7.4,0.297,0,0.6,0,2.2,6.8,0.324,0.297,0,0,,0.4,1.8,2.2,2.4,0.8,0,2.4,1.8,4.4,0.081,23.3,0,-9.5,0.6,11.4,0.2,0,-10.1,2.6,-0.5,0.3,2.5,24.5,7.1,0.297,26,-0.2,-0.3,-0.176,69
Ronald Dupree,SF,23,CHI,47,8,19,2.4,6,0.394,0.1,0.2,0.444,2.3,5.8,0.392,0.401,1.4,2.2,0.629,1.2,2.4,3.6,1.2,0.7,0.4,1.1,2.9,6.2,0.032,10.6,1.5,-3.6,0.3,14.1,0.9,0.372,-3.9,6.5,-0.4,9.7,1.9,13.4,10.2,0.445,19,-0.4,0.5,0.028,69
Reggie Evans,PF,23,SEA,75,27,17.1,0.9,2.2,0.406,0,0,0,0.9,2.2,0.414,0.406,1.1,2,0.561,2.1,3.4,5.4,0.4,0.7,0.1,0.9,2.3,2.9,0.018,3.7,0.6,-2.1,0.4,23,1.1,0.897,-2.5,14.5,0.7,9.9,2.3,22,18.8,0.471,10.7,0,1.7,0.065,69
Kendall Gill,SG,35,CHI,56,35,25.2,3.8,9.8,0.392,0.2,0.7,0.237,3.7,9.1,0.404,0.401,1.8,2.4,0.735,1.1,2.3,3.4,1.6,1.2,0.3,1.5,1.9,9.6,0.069,11.4,0.8,-3.5,-0.3,10.3,1.3,0.248,-3.2,4.6,-0.9,11.1,2.4,12,7.4,0.443,21.9,-0.5,0.4,0.013,69
Tom Gugliotta,PF,34,UTA,25,24,20.6,1.6,4.2,0.375,0,0.1,0.333,1.5,4,0.376,0.38,0.6,0.8,0.7,2,3.2,5.2,1.7,0.7,0.3,0.8,1.9,3.7,0.029,13.5,1.3,0.3,1.7,19.8,0.6,0.192,-1.4,11.9,0.3,11.4,1.8,14.4,15.8,0.412,11.9,0.3,0.8,0.079,69
Jerome James,C,28,SEA,65,24,15.2,2,4,0.498,0,0,,2,4,0.498,0.498,1,1.5,0.66,1.2,2.3,3.5,0.5,0.3,0.9,1.3,2.8,5,0,5.3,4.6,-3.2,0.5,18,0.6,0.386,-3.7,9.4,0.1,11.3,1.1,21.3,13.7,0.535,18,-0.3,0.7,0.036,69
Moochie Norris,PG,30,NYK,36,0,12.4,1.5,3.6,0.408,0.3,1,0.343,1.1,2.6,0.432,0.454,1,1.3,0.766,0.2,0.8,1,2,0.8,0.1,0.9,1,4.3,0.269,27,0.5,-1.2,-0.9,6.9,0.5,0.362,-0.3,2.1,0.4,14.8,3.4,18.4,4.5,0.511,19.2,0.1,0.8,0.091,69
Milt Palacio,PG,25,TOR,59,13,20.5,1.8,5.1,0.349,0.1,0.4,0.154,1.7,4.6,0.368,0.356,0.8,1.2,0.662,0.3,1.5,1.7,3.1,0.7,0.2,1.5,1.5,4.4,0.087,26.3,0.7,-6.3,-0.5,8.3,1.3,0.228,-5.8,1.4,-1.8,7.4,1.9,21,4.8,0.392,16.6,-1.3,-0.5,-0.02,69
