,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
3158,Steve,Novak,30,2013,TOR,PF,54,1,540,10.0,60,146,0.410958904,52,122,0.426229508,8,24,0.333333333,6,6,1.0,8,50,13,12,4,5,2.6,44,178,3.296296296,73
3159,John,Salmons,34,2013,TOR,SG,78,8,1726,22.12820513,150,413,0.363196126,63,163,0.386503067,87,250,0.348,40,52,0.769230769,20,143,147,47,19,54,2.722222222,124,403,5.166666667,73
3160,Landry,Fields,25,2013,TOR,SF,30,2,322,10.73333333,27,67,0.402985075,0,5,0.0,27,62,0.435483871,14,22,0.636363636,15,44,20,10,3,11,1.818181818,25,68,2.266666667,70
3161,Reggie,Bullock,22,2013,LAC,SF,43,0,395,9.186046512,43,121,0.355371901,22,73,0.301369863,21,48,0.4375,7,9,0.777777778,11,43,12,9,1,13,0.923076923,26,115,2.674418605,70
3162,Gerald,Wallace,31,2013,BOS,SF,58,16,1416,24.4137931,116,230,0.504347826,19,64,0.296875,97,166,0.584337349,47,101,0.465346535,36,176,143,73,14,97,1.474226804,79,298,5.137931034,69
3163,Cartier,Martin,29,2013,CHI,SF,59,6,870,14.74576271,111,264,0.420454545,59,151,0.390728477,52,113,0.460176991,48,65,0.738461538,13,97,33,27,7,34,0.970588235,71,329,5.576271186,68
3164,Luigi,Datome,26,2013,DET,SF,34,0,238,7.0,34,97,0.350515464,7,39,0.179487179,27,58,0.465517241,8,10,0.8,14,32,11,6,1,11,1.0,20,83,2.441176471,67
3165,Victor,Claver,25,2013,POR,SF,21,0,184,8.761904762,17,42,0.404761905,3,18,0.166666667,14,24,0.583333333,10,11,0.909090909,9,30,12,3,3,11,1.090909091,16,47,2.238095238,67
3166,Reggie,Williams,27,2013,OKC,SF,3,0,17,5.666666667,5,9,0.555555556,1,3,0.333333333,4,6,0.666666667,0,0,0.0,0,0,1,1,0,2,0.5,1,11,3.666666667,66
3167,Darius,Miller,23,2013,NOP,SF,45,7,723,16.06666667,73,166,0.439759036,25,77,0.324675325,48,89,0.539325843,29,36,0.805555556,9,43,43,24,9,22,1.954545455,88,200,4.444444444,71
3168,Xavier,Henry,22,2013,LAL,SF,43,5,908,21.11627907,144,345,0.417391304,28,81,0.345679012,116,264,0.439393939,116,177,0.655367232,25,89,51,44,7,57,0.894736842,79,432,10.04651163,70
3169,Chris,Douglas-Roberts,27,2013,CHA,SF,49,8,1016,20.73469388,111,252,0.44047619,51,132,0.386363636,60,120,0.5,66,82,0.804878049,16,103,51,29,16,36,1.416666667,61,339,6.918367347,70
3170,Jordan,Hamilton,23,2013,HOU,SF,60,12,1019,16.98333333,147,376,0.390957447,70,198,0.353535354,77,178,0.43258427,40,51,0.784313725,32,162,52,44,20,46,1.130434783,67,404,6.733333333,70
3171,Quincy,Miller,21,2013,DEN,PF,52,16,789,15.17307692,94,256,0.3671875,30,94,0.319148936,64,162,0.395061728,39,55,0.709090909,36,111,26,22,32,48,0.541666667,70,257,4.942307692,69
3172,Francisco,Garcia,32,2013,HOU,SF,55,4,1083,19.69090909,118,294,0.401360544,69,193,0.357512953,49,101,0.485148515,10,19,0.526315789,21,101,63,27,33,30,2.1,120,315,5.727272727,69
3173,Travis,Outlaw,29,2013,SAC,SF,63,4,1065,16.9047619,130,326,0.398773006,41,117,0.35042735,89,209,0.425837321,42,52,0.807692308,36,132,48,20,19,26,1.846153846,94,343,5.444444444,69
3174,Austin,Daye,25,2013,SAS,SF,22,1,148,6.727272727,24,68,0.352941176,12,37,0.324324324,12,31,0.387096774,6,10,0.6,5,22,8,4,4,5,1.6,18,66,3.0,67
3175,Damion,James,26,2013,SAS,G-F,5,1,50,10.0,2,9,0.222222222,0,2,0.0,2,7,0.285714286,2,2,1.0,1,11,3,0,1,1,3.0,3,6,1.2,67
3176,Michael,Beasley,25,2013,MIA,SF,55,2,831,15.10909091,177,355,0.498591549,21,54,0.388888889,156,301,0.518272425,61,79,0.772151899,31,141,42,23,21,57,0.736842105,93,436,7.927272727,72
3177,Tony,Mitchell,21,2013,DET,PF,24,0,89,3.708333333,8,17,0.470588235,1,2,0.5,7,15,0.466666667,11,19,0.578947368,16,11,3,7,3,4,0.75,9,28,1.166666667,68
3178,Tornike,Shengelia,22,2013,CHI,SF,26,0,154,5.923076923,13,28,0.464285714,0,6,0.0,13,22,0.590909091,3,8,0.375,4,12,14,3,1,12,1.166666667,18,29,1.115384615,64
3179,Shane,Edwards,26,2013,CLE,SF,2,0,12,6.0,1,3,0.333333333,0,0,0.0,1,3,0.333333333,0,0,0.0,1,1,0,0,0,1,0.0,1,2,1.0,63
3180,James,Nunnally,23,2013,PHI,SF,13,0,165,12.69230769,15,46,0.326086957,8,25,0.32,7,21,0.333333333,6,9,0.666666667,1,18,8,6,2,7,1.142857143,11,44,3.384615385,60
3181,Anthony,Davis,20,2013,NOP,C,67,66,2358,35.19402985,522,1005,0.519402985,2,9,0.222222222,520,996,0.522088353,348,440,0.790909091,207,466,105,89,189,109,0.963302752,200,1394,20.80597015,94
3182,LaMarcus,Aldridge,28,2013,POR,PF,69,69,2498,36.20289855,652,1423,0.458186929,3,15,0.2,649,1408,0.4609375,296,360,0.822222222,166,599,178,63,68,123,1.447154472,147,1603,23.23188406,90
3183,Blake,Griffin,24,2013,LAC,PF,80,80,2863,35.7875,718,1359,0.528329654,12,44,0.272727273,706,1315,0.536882129,482,674,0.715133531,192,565,309,92,51,224,1.379464286,265,1930,24.125,89
