,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
2341,James,Jones,31,2011,MIA,SG,51,10,666,13.05882353,57,150,0.38,46,114,0.403508772,11,36,0.305555556,25,30,0.833333333,6,43,19,17,9,10,1.9,45,185,3.62745098,60
2342,Devin,Ebanks,22,2011,LAL,SG,24,12,396,16.5,37,89,0.415730337,0,9,0.0,37,80,0.4625,23,35,0.657142857,26,28,12,11,6,18,0.666666667,26,97,4.041666667,58
2343,Sasha,Pavlovic,28,2011,BOS,SF,45,7,527,11.71111111,50,128,0.390625,17,58,0.293103448,33,70,0.471428571,3,8,0.375,4,68,18,20,15,20,0.9,54,120,2.666666667,57
2344,Blake,Griffin,22,2011,LAC,PF,66,66,2392,36.24242424,561,1022,0.548923679,2,16,0.125,559,1006,0.555666004,244,468,0.521367521,218,499,210,54,48,150,1.4,216,1368,20.72727273,89
2345,Kevin,Love,23,2011,MIN,PF,55,55,2145,39.0,474,1059,0.447592068,105,282,0.372340426,369,777,0.474903475,379,460,0.823913043,226,508,111,47,28,128,0.8671875,152,1432,26.03636364,88
2346,Carmelo,Anthony,27,2011,NYK,SF,55,55,1876,34.10909091,441,1025,0.430243902,68,203,0.334975369,373,822,0.45377129,295,367,0.803814714,88,256,200,62,24,144,1.388888889,156,1245,22.63636364,85
2347,Serge,Ibaka,22,2011,OKC,PF,66,66,1792,27.15151515,262,490,0.534693878,1,3,0.333333333,261,487,0.535934292,78,118,0.661016949,193,305,28,33,241,79,0.35443038,179,603,9.136363636,85
2348,LaMarcus,Aldridge,26,2011,POR,PF,55,55,1994,36.25454545,483,943,0.512195122,2,11,0.181818182,481,932,0.516094421,223,274,0.813868613,150,292,134,51,45,111,1.207207207,153,1191,21.65454545,85
2349,Dirk,Nowitzki,33,2011,DAL,PF,62,62,2079,33.53225806,473,1034,0.457446809,78,212,0.367924528,395,822,0.48053528,318,355,0.895774648,46,372,136,42,30,117,1.162393162,129,1342,21.64516129,84
2350,David,Lee,28,2011,GSW,PF,57,57,2121,37.21052632,464,922,0.503253796,0,5,0.0,464,917,0.505997819,219,280,0.782142857,171,374,162,54,22,149,1.087248322,179,1147,20.12280702,84
2351,Zach,Randolph,30,2011,MEM,PF,28,8,735,26.25,132,285,0.463157895,2,8,0.25,130,277,0.469314079,58,88,0.659090909,78,147,48,21,4,40,1.2,57,324,11.57142857,84
2352,Josh,Smith,26,2011,ATL,PF,66,66,2329,35.28787879,504,1101,0.457765668,28,109,0.256880734,476,992,0.47983871,203,322,0.630434783,136,496,257,93,115,164,1.567073171,172,1239,18.77272727,84
2353,Paul,Millsap,26,2011,UTA,PF,64,62,2100,32.8125,426,861,0.494773519,7,31,0.225806452,419,830,0.504819277,202,255,0.792156863,180,383,150,118,52,112,1.339285714,222,1061,16.578125,83
2354,David,West,31,2011,IND,PF,66,66,1925,29.16666667,349,716,0.487430168,2,9,0.222222222,347,707,0.490806223,142,176,0.806818182,118,315,140,52,46,93,1.505376344,160,842,12.75757576,82
2355,Carlos,Boozer,30,2011,CHI,PF,66,66,1948,29.51515152,448,842,0.532066508,0,1,0.0,448,841,0.532699168,95,137,0.693430657,114,450,125,63,24,115,1.086956522,168,991,15.01515152,80
2356,Thaddeus,Young,23,2011,PHI,PF,63,1,1755,27.85714286,348,687,0.506550218,1,4,0.25,347,683,0.508052709,111,144,0.770833333,137,188,74,64,41,55,1.345454545,127,808,12.82539683,80
2357,Pau,Gasol,31,2011,LAL,PF,65,65,2430,37.38461538,459,917,0.500545256,7,27,0.259259259,452,890,0.507865169,204,261,0.781609195,183,495,237,37,88,142,1.669014085,127,1129,17.36923077,80
2358,Carl,Landry,28,2011,NOH,PF,41,8,999,24.36585366,182,362,0.502762431,0,3,0.0,182,359,0.506963788,147,184,0.798913043,78,136,38,13,12,64,0.59375,89,511,12.46341463,80
2359,Shawn,Marion,33,2011,DAL,SF,63,63,1919,30.46031746,288,646,0.445820433,20,68,0.294117647,268,578,0.46366782,74,93,0.795698925,145,320,132,67,36,98,1.346938776,87,670,10.63492063,79
2360,Derrick,Favors,20,2011,UTA,PF,65,9,1376,21.16923077,222,445,0.498876404,0,0,0.0,222,445,0.498876404,126,194,0.649484536,158,267,43,38,65,103,0.417475728,145,570,8.769230769,79
2361,Kenneth,Faried,22,2011,DEN,PF,46,39,1037,22.54347826,181,309,0.585760518,0,0,0.0,181,309,0.585760518,109,164,0.664634146,142,210,36,34,47,54,0.666666667,116,471,10.23913043,78
2362,Amir,Johnson,24,2011,TOR,PF,64,43,1553,24.265625,196,340,0.576470588,2,5,0.4,194,335,0.579104478,58,84,0.69047619,149,259,79,33,69,94,0.840425532,209,452,7.0625,78
2363,Tyler,Hansbrough,26,2011,IND,PF,66,0,1442,21.84848485,194,479,0.405010438,0,1,0.0,194,478,0.405857741,226,278,0.81294964,113,177,30,54,9,65,0.461538462,159,614,9.303030303,78
2364,Tristan,Thompson,20,2011,CLE,PF,60,25,1424,23.73333333,194,442,0.438914027,0,2,0.0,194,440,0.440909091,106,192,0.552083333,187,202,27,27,62,81,0.333333333,134,494,8.233333333,77
2365,Glen,Davis,26,2011,ORL,PF,61,13,1427,23.39344262,225,534,0.421348315,2,14,0.142857143,223,520,0.428846154,114,167,0.682634731,107,224,47,43,19,75,0.626666667,106,566,9.278688525,77
2366,Ryan,Anderson,23,2011,ORL,PF,61,61,1964,32.19672131,332,757,0.438573316,166,422,0.393364929,166,335,0.495522388,150,171,0.877192982,224,247,54,50,26,57,0.947368421,146,980,16.06557377,76
2367,Wilson,Chandler,24,2011,DEN,SF,8,6,215,26.875,31,79,0.392405063,3,12,0.25,28,67,0.417910448,10,12,0.833333333,6,35,17,6,6,18,0.944444444,18,75,9.375,76
2368,Tobias,Harris,19,2011,MIL,SF,42,9,479,11.4047619,79,169,0.467455621,6,23,0.260869565,73,146,0.5,44,54,0.814814815,30,71,22,13,7,31,0.709677419,45,208,4.952380952,76
2369,Luis,Scola,31,2011,HOU,PF,66,66,2067,31.31818182,436,888,0.490990991,0,3,0.0,436,885,0.492655367,153,198,0.772727273,122,306,140,35,24,153,0.91503268,214,1025,15.53030303,76
2370,Taj,Gibson,26,2011,CHI,PF,63,0,1284,20.38095238,200,404,0.495049505,0,0,0.0,200,404,0.495049505,84,135,0.622222222,135,197,47,27,81,60,0.783333333,131,484,7.682539683,75
2371,Patrick,Patterson,22,2011,HOU,PF,64,1,1483,23.171875,225,511,0.440313112,0,3,0.0,225,508,0.442913386,40,57,0.701754386,112,174,53,27,36,49,1.081632653,113,490,7.65625,75
2372,Kris,Humphries,26,2011,NJN,PF,62,62,2162,34.87096774,323,671,0.481371088,0,0,0.0,323,671,0.481371088,209,278,0.751798561,233,448,90,50,74,119,0.756302521,173,855,13.79032258,75
2373,Ersan,Ilyasova,24,2011,MIL,PF,60,41,1655,27.58333333,294,597,0.492462312,51,112,0.455357143,243,485,0.501030928,143,183,0.781420765,196,333,71,42,44,76,0.934210526,133,782,13.03333333,74
2374,Jason,Thompson,25,2011,SAC,PF,64,47,1657,25.890625,237,443,0.534988713,0,2,0.0,237,441,0.537414966,109,181,0.602209945,166,277,79,43,44,68,1.161764706,149,583,9.109375,74
2375,Trevor,Booker,24,2011,WAS,PF,50,32,1261,25.22,181,341,0.530791789,1,2,0.5,180,339,0.530973451,56,93,0.602150538,119,206,40,48,43,58,0.689655172,138,419,8.38,74
2376,DeJuan,Blair,22,2011,SAS,PF,64,62,1363,21.296875,269,504,0.533730159,0,1,0.0,269,503,0.534791252,73,119,0.613445378,154,197,78,59,12,92,0.847826087,168,611,9.546875,73
2377,Ivan,Johnson,27,2011,ATL,PF,56,0,934,16.67857143,141,275,0.512727273,2,6,0.333333333,139,269,0.516728625,72,100,0.72,65,161,32,43,18,69,0.463768116,116,356,6.357142857,73
2378,Brandon,Bass,26,2011,BOS,PF,59,39,1868,31.66101695,303,632,0.47943038,0,0,0.0,303,632,0.47943038,132,163,0.809815951,95,270,55,34,54,65,0.846153846,135,738,12.50847458,72
2379,Jason,Maxiell,28,2011,DET,PF,65,42,1466,22.55384615,183,383,0.477806789,0,2,0.0,183,381,0.480314961,58,106,0.547169811,126,207,41,32,50,71,0.577464789,151,424,6.523076923,72
2380,Andrea,Bargnani,26,2011,TOR,C,31,31,1032,33.29032258,209,484,0.431818182,34,115,0.295652174,175,369,0.474254743,151,173,0.87283237,24,148,61,18,15,69,0.884057971,52,603,19.4516129,72
2381,Nick,Collison,31,2011,OKC,PF,63,0,1307,20.74603175,120,201,0.597014925,0,1,0.0,120,200,0.6,44,62,0.709677419,119,155,82,33,28,61,1.344262295,153,284,4.507936508,72
2382,Antawn,Jamison,35,2011,CLE,PF,65,65,2151,33.09230769,421,1044,0.403256705,91,267,0.34082397,330,777,0.424710425,185,271,0.682656827,123,285,131,51,43,90,1.455555556,164,1118,17.2,72
2383,Lamar,Odom,32,2011,DAL,SF,50,4,1027,20.54,123,349,0.35243553,28,111,0.252252252,95,238,0.399159664,58,98,0.591836735,36,172,83,20,18,52,1.596153846,97,332,6.64,72
2384,Derrick,Williams,20,2011,MIN,PF,66,15,1418,21.48484848,205,498,0.411646586,37,138,0.268115942,168,360,0.466666667,136,195,0.697435897,77,234,38,30,31,77,0.493506494,95,583,8.833333333,71
2385,Boris,Diaw,29,2011,SAS,PF,57,35,1424,24.98245614,156,351,0.444444444,31,99,0.313131313,125,252,0.496031746,22,35,0.628571429,70,210,205,34,25,112,1.830357143,125,365,6.403508772,71
2386,Jeremy,Evans,24,2011,UTA,SF,29,0,217,7.482758621,27,42,0.642857143,0,1,0.0,27,41,0.658536585,8,16,0.5,19,31,13,6,24,5,2.6,23,62,2.137931034,71
2387,Reggie,Evans,31,2011,LAC,PF,56,0,771,13.76785714,34,72,0.472222222,0,0,0.0,34,72,0.472222222,36,71,0.507042254,100,171,17,31,6,44,0.386363636,118,104,1.857142857,70
2388,Jonas,Jerebko,24,2011,DET,PF,64,13,1468,22.9375,212,453,0.46799117,32,106,0.301886792,180,347,0.518731988,100,124,0.806451613,96,212,43,41,21,66,0.651515152,162,556,8.6875,70
2389,Anthony,Randolph,22,2011,MIN,PF,34,5,517,15.20588235,94,200,0.47,0,1,0.0,94,199,0.472361809,64,84,0.761904762,42,81,19,13,35,40,0.475,56,252,7.411764706,70
2390,Earl,Clark,24,2011,ORL,PF,45,1,559,12.42222222,51,139,0.366906475,0,0,0.0,51,139,0.366906475,21,29,0.724137931,35,89,18,12,32,25,0.72,72,123,2.733333333,69
2391,Byron,Mullens,22,2011,CHA,C,65,25,1465,22.53846154,251,591,0.424703892,12,51,0.235294118,239,540,0.442592593,92,112,0.821428571,96,231,57,21,52,74,0.77027027,137,606,9.323076923,69
2392,Lavoy,Allen,22,2011,PHI,PF,41,15,624,15.2195122,79,167,0.473053892,0,0,0.0,79,167,0.473053892,11,14,0.785714286,47,124,34,13,18,20,1.7,73,169,4.12195122,69
