,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
3356,Stephen,Curry,26,2014,GSW,PG,80,80,2613,32.6625,653,1341,0.486950037,286,646,0.442724458,367,695,0.528057554,308,337,0.913946588,56,285,619,163,16,249,2.485943775,158,1900,23.75,97
3357,Russell,Westbrook,26,2014,OKC,PG,67,67,2302,34.35820896,627,1471,0.426240653,86,288,0.298611111,541,1183,0.457311919,546,654,0.834862385,124,364,574,140,14,293,1.959044369,184,1886,28.14925373,94
3358,Chris,Paul,29,2014,LAC,PG,82,82,2857,34.84146341,568,1170,0.485470085,139,349,0.398280802,429,821,0.522533496,289,321,0.900311526,52,324,838,156,15,190,4.410526316,203,1564,19.07317073,92
3359,Damian,Lillard,24,2014,POR,PG,82,82,2925,35.67073171,590,1360,0.433823529,196,572,0.342657343,394,788,0.5,344,398,0.864321608,49,329,507,97,21,222,2.283783784,164,1720,20.97560976,89
3360,John,Wall,24,2014,WAS,PG,79,79,2837,35.91139241,519,1166,0.445111492,65,217,0.299539171,454,949,0.478398314,284,362,0.784530387,36,330,792,138,45,304,2.605263158,180,1387,17.55696203,89
3361,Kyrie,Irving,22,2014,CLE,PG,75,75,2730,36.4,578,1235,0.468016194,157,378,0.415343915,421,857,0.491248541,315,365,0.863013699,55,182,389,114,20,186,2.091397849,146,1628,21.70666667,88
3362,Kyle,Lowry,28,2014,TOR,PG,70,70,2414,34.48571429,430,1043,0.412272291,132,391,0.337595908,298,652,0.457055215,252,312,0.807692308,54,274,473,109,13,173,2.734104046,212,1244,17.77142857,86
3363,Isaiah,Thomas,25,2014,BOS,PG,67,1,1726,25.76119403,335,797,0.420326223,129,346,0.37283237,206,451,0.456762749,302,348,0.867816092,33,120,284,57,5,143,1.986013986,150,1101,16.43283582,86
3364,Eric,Bledsoe,25,2014,PHO,PG,81,81,2800,34.56790123,468,1046,0.447418738,88,272,0.323529412,380,774,0.490956072,353,441,0.800453515,72,351,493,127,45,274,1.799270073,189,1377,17.0,86
3365,Kemba,Walker,24,2014,CHO,PG,62,58,2119,34.17741935,378,981,0.385321101,85,280,0.303571429,293,701,0.417974322,234,283,0.826855124,35,185,318,89,31,100,3.18,92,1075,17.33870968,84
3366,Reggie,Jackson,24,2014,DET,PG,77,40,2268,29.45454545,432,996,0.43373494,72,241,0.298755187,360,755,0.476821192,181,218,0.830275229,56,271,462,62,9,186,2.483870968,167,1117,14.50649351,83
3367,Mike,Conley,27,2014,MEM,PG,70,70,2225,31.78571429,393,882,0.445578231,107,277,0.386281588,286,605,0.472727273,214,249,0.859437751,29,180,375,89,14,156,2.403846154,139,1107,15.81428571,83
3368,Rajon,Rondo,28,2014,DAL,PG,68,68,2018,29.67647059,275,645,0.426356589,27,86,0.313953488,248,559,0.443649374,31,78,0.397435897,73,300,538,91,7,210,2.561904762,153,608,8.941176471,83
3369,Jrue,Holiday,24,2014,NOP,PG,40,37,1303,32.575,238,534,0.445692884,51,135,0.377777778,187,399,0.468671679,65,76,0.855263158,32,103,274,63,23,91,3.010989011,110,592,14.8,82
3370,Darren,Collison,27,2014,SAC,PG,45,45,1565,34.77777778,260,550,0.472727273,60,161,0.372670807,200,389,0.514138817,145,184,0.788043478,19,124,252,67,14,112,2.25,95,725,16.11111111,80
3371,Brandon,Knight,23,2014,PHO,SG,63,61,2035,32.3015873,375,888,0.422297297,125,321,0.3894081,250,567,0.440917108,195,223,0.874439462,28,216,330,90,10,189,1.746031746,114,1070,16.98412698,80
3372,Goran,Dragic,28,2014,MIA,PG,78,78,2640,33.84615385,502,1002,0.500998004,90,259,0.347490347,412,743,0.554508748,181,234,0.773504274,81,193,350,78,15,173,2.023121387,195,1275,16.34615385,80
3373,Derrick,Rose,26,2014,CHI,PG,51,51,1530,30.0,338,835,0.404790419,76,271,0.280442804,262,564,0.464539007,152,187,0.812834225,35,126,251,36,16,161,1.559006211,63,904,17.7254902,80
3374,Tony,Parker,32,2014,SAS,PG,68,68,1953,28.72058824,404,832,0.485576923,38,89,0.426966292,366,743,0.492597577,130,166,0.78313253,15,114,335,44,2,146,2.294520548,108,976,14.35294118,79
3375,Ricky,Rubio,24,2014,MIN,PG,22,22,692,31.45454545,78,219,0.356164384,13,51,0.254901961,65,168,0.386904762,57,71,0.802816901,19,106,193,38,1,64,3.015625,59,226,10.27272727,79
3376,Dennis,Schroder,21,2014,ATL,PG,77,10,1516,19.68831169,284,665,0.427067669,52,148,0.351351351,232,517,0.448742747,148,179,0.826815642,29,135,317,49,4,150,2.113333333,127,768,9.974025974,79
3377,Jeff,Teague,26,2014,ATL,PG,73,72,2228,30.52054795,408,887,0.459977452,71,207,0.342995169,337,680,0.495588235,275,319,0.862068966,30,154,513,125,31,205,2.502439024,139,1162,15.91780822,78
3378,Deron,Williams,30,2014,BRK,PG,68,55,2114,31.08823529,298,771,0.386511025,87,237,0.367088608,211,534,0.395131086,201,241,0.834024896,29,208,448,64,17,154,2.909090909,157,884,13.0,78
3379,Jordan,Clarkson,22,2014,LAL,PG,59,38,1476,25.01694915,267,596,0.447986577,38,121,0.314049587,229,475,0.482105263,131,158,0.829113924,56,135,206,51,12,96,2.145833333,109,703,11.91525424,77
3380,J.J.,Barea,30,2014,DAL,PG,77,10,1362,17.68831169,225,536,0.419776119,54,167,0.323353293,171,369,0.463414634,76,94,0.808510638,23,111,263,33,1,70,3.757142857,104,580,7.532467532,77
