player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Marquis Daniels,SG,31,BOS,38,0,12.7,1.4,3.8,0.364,0.0,0.3,0.0,1.4,3.5,0.391,0.364,0.4,0.6,0.739,0.4,1.3,1.7,1.2,0.6,0.2,0.7,0.9,3.2,0.07,15.5,1.4,-3.6,1.8,11.6,0.9,0.161,-5.4,4.1,-0.8,8.1,2.3,15.5,8.0,0.395,18.0,-0.2,0.1,0.008,68
Ed Davis,PF,22,TOR,66,9,23.2,2.6,5.1,0.513,0.0,0.0,0.0,2.6,5.1,0.515,0.513,1.1,1.6,0.67,2.0,4.6,6.6,0.9,0.6,1.0,1.0,2.4,6.3,0.003,6.5,3.4,0.9,2.6,23.0,2.3,0.316,-1.7,10.4,1.6,14.2,1.4,14.9,16.7,0.544,13.8,1.1,3.9,0.121,75
Glen Davis,PF,26,ORL,61,13,23.4,3.7,8.8,0.421,0.0,0.2,0.143,3.7,8.5,0.429,0.423,1.9,2.7,0.683,1.8,3.7,5.4,0.8,0.7,0.3,1.2,1.7,9.3,0.026,5.9,1.0,-4.2,-0.4,18.4,1.7,0.313,-3.8,8.5,0.0,13.2,1.6,11.0,13.4,0.466,22.4,-0.8,1.7,0.057,77
Austin Daye,SF,23,DET,41,4,14.7,1.8,5.5,0.322,0.3,1.5,0.21,1.5,4.0,0.364,0.35,0.9,1.0,0.814,0.3,1.9,2.2,0.8,0.5,0.5,1.0,1.5,4.7,0.273,9.2,2.8,-5.9,-0.3,15.8,0.6,0.189,-5.6,2.7,-1.3,7.1,2.0,14.0,9.0,0.394,21.9,-0.6,-0.6,-0.05,68
Carlos Delfino,SF,29,MIL,54,53,28.5,3.4,8.4,0.402,1.6,4.4,0.36,1.8,4.0,0.449,0.497,0.7,0.9,0.792,0.4,3.5,3.9,2.3,1.5,0.2,1.2,1.8,9.0,0.528,11.9,0.5,0.7,0.6,13.9,1.6,0.106,0.1,1.4,0.8,11.7,2.6,12.2,7.5,0.515,15.5,1.1,2.4,0.075,72
Luol Deng,SF,26,CHI,54,54,39.4,5.8,14.0,0.412,1.5,4.0,0.367,4.3,10.0,0.43,0.464,2.4,3.1,0.77,1.4,5.1,6.5,2.9,1.0,0.7,1.8,1.5,15.3,0.285,11.7,1.2,2.1,1.6,14.0,3.6,0.219,0.5,4.1,2.3,14.1,1.4,10.4,9.2,0.5,19.8,2.2,5.8,0.132,78
Boris Diaw,PF,29,SAS,20,7,20.3,2.0,3.4,0.588,0.4,0.7,0.615,1.6,2.8,0.582,0.647,0.3,0.4,0.625,1.2,3.1,4.3,2.4,0.7,0.3,1.4,2.7,4.7,0.191,16.1,1.1,2.8,2.5,17.2,0.5,0.118,0.3,6.6,0.5,12.1,1.8,28.1,12.0,0.65,11.2,0.5,1.1,0.125,71
DeSagana Diop,C,30,CHA,27,9,12.0,0.6,1.6,0.357,0.0,0.0,,0.6,1.6,0.357,0.357,0.0,0.2,0.167,1.2,1.9,3.1,0.9,0.2,0.5,0.7,1.3,1.1,0.0,11.0,3.0,-4.1,1.7,19.0,0.2,0.143,-5.8,11.2,-0.3,6.8,1.0,29.9,15.0,0.347,9.0,-0.2,-0.2,-0.025,52
Keyon Dooling,SG,31,BOS,46,2,14.4,1.4,3.5,0.405,0.6,1.8,0.333,0.8,1.8,0.476,0.488,0.5,0.7,0.742,0.1,0.8,0.8,1.1,0.3,0.0,0.7,1.2,4.0,0.497,12.1,0.2,-3.9,-1.2,6.1,0.8,0.19,-2.7,0.6,-0.2,6.9,1.0,16.1,3.5,0.515,15.3,-0.3,0.6,0.042,61
Toney Douglas,PG,25,NYK,38,9,17.3,2.5,7.6,0.324,0.7,3.1,0.231,1.8,4.6,0.387,0.371,0.6,0.7,0.846,0.4,1.5,1.9,2.0,0.8,0.0,1.5,1.4,6.2,0.403,19.6,0.1,-5.0,-1.1,10.0,0.8,0.09,-3.9,2.8,-1.4,7.1,2.3,15.7,6.3,0.393,24.4,-0.5,-0.6,-0.046,70
