player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Shareef Abdur-Rahim,PF,28,POR,54,49,34.6,6.2,12.4,0.503,0.3,0.7,0.385,6.0,11.7,0.51,0.514,4.1,4.7,0.866,2.3,5.0,7.3,2.1,0.9,0.5,2.2,2.8,16.8,0.058,10.7,1.0,0.8,-0.5,16.0,1.5,0.379,1.4,7.9,3.9,18.7,1.4,13.0,12.1,0.581,22.1,1.3,5.4,0.139,80
Malik Allen,PF,26,CHA,22,1,12.3,2.2,4.6,0.485,0.0,0.0,,2.2,4.6,0.485,0.485,0.6,0.6,0.929,0.7,1.4,2.1,0.3,0.2,0.5,0.3,1.1,5.0,0.0,4.6,3.1,-3.4,-1.0,13.8,0.2,0.139,-2.4,6.4,0.3,14.8,1.0,6.1,9.9,0.518,18.7,-0.1,0.5,0.088,74
Ray Allen,SG,29,SEA,78,78,39.3,8.2,19.2,0.428,2.7,7.1,0.376,5.5,12.0,0.459,0.498,4.8,5.5,0.883,1.0,3.4,4.4,3.7,1.1,0.1,2.2,2.1,23.9,0.372,18.1,0.1,3.7,-1.9,10.7,1.0,0.286,5.6,3.2,9.7,20.9,1.5,9.2,6.9,0.555,28.0,4.4,10.7,0.168,91
Tony Allen,SG,23,BOS,77,34,16.4,2.4,5.0,0.475,0.2,0.4,0.387,2.2,4.6,0.483,0.491,1.5,2.0,0.737,1.1,1.8,2.9,0.8,1.0,0.3,1.0,2.0,6.4,0.08,8.2,1.4,-0.1,0.6,12.3,1.6,0.393,-0.7,8.0,1.2,14.7,3.1,14.5,10.2,0.542,18.9,0.6,2.7,0.103,74
Rafer Alston,PG,28,TOR,80,78,34.0,5.0,12.2,0.414,1.7,4.9,0.357,3.3,7.3,0.451,0.485,2.4,3.2,0.74,0.5,3.0,3.5,6.4,1.5,0.1,2.1,2.7,14.2,0.399,31.7,0.2,1.5,-1.2,10.1,1.7,0.265,2.6,1.7,3.8,16.5,2.2,13.5,5.8,0.522,21.2,2.4,5.5,0.098,81
Derek Anderson,SG,30,POR,47,32,26.4,3.2,8.3,0.389,1.2,3.2,0.384,2.0,5.1,0.392,0.463,1.5,1.9,0.805,0.5,2.2,2.7,3.0,0.8,0.1,1.5,1.9,9.2,0.386,18.9,0.2,-2.1,-1.8,9.2,0.6,0.223,-0.3,2.4,0.7,11.7,1.6,14.0,6.0,0.503,18.5,0.0,1.3,0.052,77
Shandon Anderson,SF,31,MIA,65,5,17.7,1.5,3.3,0.456,0.1,0.4,0.179,1.4,2.9,0.497,0.467,0.8,1.0,0.818,0.6,2.3,2.9,1.1,0.6,0.2,0.8,2.1,3.9,0.13,8.8,0.9,-0.9,1.5,14.6,1.6,0.307,-2.3,4.2,0.5,9.2,1.8,16.7,9.6,0.522,11.9,0.3,2.2,0.09,71
Carmelo Anthony,SF,20,DEN,75,75,34.8,7.1,16.4,0.431,0.6,2.1,0.266,6.5,14.3,0.455,0.448,6.1,7.6,0.796,1.9,3.8,5.7,2.6,0.9,0.4,3.0,3.1,20.8,0.128,13.1,0.9,-1.2,-1.3,12.5,2.6,0.466,0.1,6.3,2.3,16.7,1.3,13.1,9.4,0.526,29.2,0.5,4.9,0.09,87
Rafael Araujo,C,24,TOR,59,41,12.5,1.3,3.0,0.434,0.0,0.1,0.333,1.3,2.9,0.436,0.437,0.7,0.9,0.782,1.0,2.1,3.1,0.3,0.4,0.1,0.9,2.7,3.3,0.017,3.4,0.8,-5.9,-0.7,19.7,0.7,0.314,-5.2,8.9,-0.4,7.1,1.5,20.7,14.2,0.492,15.6,-0.7,0.3,0.016,72
Gilbert Arenas,PG,23,WAS,80,80,40.9,8.2,19.0,0.431,2.6,7.0,0.365,5.6,12.0,0.469,0.498,6.5,8.0,0.814,1.0,3.7,4.7,5.1,1.7,0.3,3.0,3.1,25.5,0.369,22.9,0.5,4.0,-1.5,10.5,2.3,0.42,5.5,2.8,9.2,21.3,2.2,11.8,6.5,0.565,27.3,4.9,11.5,0.169,92
