player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Quincy Acy,PF,22,TOR,29,0,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.567,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,0.027,5.2,3.5,0.7,1.3,16.6,0.4,0.507,-0.6,10.3,0.7,15.9,2.0,15.6,13.4,0.632,14.7,0.2,1.1,0.157,64
Jeff Adrien,PF,26,CHA,52,5,13.7,1.4,3.2,0.429,0.0,0.0,0.0,1.4,3.2,0.434,0.429,1.3,1.9,0.65,1.3,2.5,3.8,0.7,0.3,0.5,0.6,1.5,4.0,0.012,8.3,3.1,-3.3,-0.2,21.2,0.4,0.595,-3.0,10.6,0.5,13.4,1.3,13.1,15.7,0.493,15.6,-0.2,1.0,0.064,63
Arron Afflalo,SF,27,ORL,64,64,36.0,6.2,14.1,0.439,1.1,3.8,0.3,5.1,10.4,0.489,0.478,3.0,3.5,0.857,0.5,3.3,3.7,3.2,0.6,0.2,2.2,2.1,16.5,0.265,14.6,0.4,-2.3,-2.0,10.3,0.5,0.246,-0.3,1.4,1.5,13.0,0.9,12.1,5.8,0.527,22.5,-0.2,2.0,0.042,76
Josh Akognon,PG,26,DAL,3,0,3.0,0.7,1.3,0.5,0.3,0.7,0.5,0.3,0.7,0.5,0.625,0.0,0.0,,0.0,0.3,0.3,0.3,0.0,0.0,0.0,1.0,1.7,0.5,19.4,0.0,-0.2,-4.9,12.1,0.0,0.0,4.7,0.0,0.0,15.3,0.0,0.0,6.2,0.625,20.3,0.0,0.0,0.196,64
Cole Aldrich,C,24,SAC,15,0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,0.0,2.6,6.3,-3.1,0.5,30.4,0.2,0.297,-3.6,11.5,0.2,15.7,0.6,17.7,20.7,0.598,12.9,-0.1,0.4,0.109,61
LaMarcus Aldridge,PF,27,POR,74,74,37.7,8.6,17.8,0.484,0.0,0.2,0.143,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,0.011,13.0,2.5,0.8,0.5,20.9,2.3,0.264,0.3,7.2,4.8,20.4,1.2,8.9,14.0,0.53,26.5,2.0,7.2,0.124,84
Lavoy Allen,C,23,PHI,79,37,21.1,2.6,5.7,0.454,0.0,0.0,0.0,2.6,5.7,0.455,0.454,0.5,0.8,0.717,2.0,3.0,5.0,0.9,0.3,0.7,0.7,2.3,5.8,0.002,6.7,2.6,-2.6,0.6,16.5,1.6,0.132,-3.2,10.5,0.9,11.5,0.8,10.3,13.4,0.474,14.8,-0.3,2.5,0.072,66
Ray Allen,SG,37,MIA,79,0,25.8,3.7,8.2,0.449,1.8,4.2,0.419,1.9,4.0,0.48,0.555,1.8,2.0,0.886,0.5,2.2,2.7,1.7,0.8,0.2,1.3,1.6,10.9,0.51,10.2,0.6,0.2,-1.5,10.1,1.9,0.243,1.7,2.6,3.4,14.7,1.7,12.5,6.6,0.599,19.3,1.1,5.4,0.126,79
Tony Allen,SG,31,MEM,79,79,26.7,3.6,8.1,0.445,0.0,0.3,0.125,3.6,7.8,0.458,0.447,1.7,2.4,0.717,1.5,3.1,4.6,1.2,1.5,0.6,1.2,2.7,8.9,0.038,7.6,1.7,1.3,2.9,13.8,4.1,0.293,-1.6,6.6,1.0,13.2,3.1,11.5,10.2,0.489,17.8,1.8,5.1,0.115,75
Al-Farouq Aminu,SF,22,NOH,76,71,27.2,3.0,6.2,0.475,0.1,0.3,0.211,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,0.04,7.8,2.1,0.4,2.4,26.2,2.4,0.289,-2.0,7.9,0.7,13.7,2.4,17.8,16.9,0.519,14.6,1.3,3.1,0.073,73
Chris Andersen,C,34,MIA,42,0,14.9,1.7,2.9,0.577,0.0,0.1,0.667,1.6,2.9,0.575,0.585,1.5,2.2,0.677,1.4,2.7,4.1,0.4,0.4,1.0,0.6,2.1,4.9,0.024,4.0,5.8,1.2,1.8,21.5,1.1,0.756,-0.6,11.9,1.6,17.4,1.4,12.8,17.0,0.631,14.4,0.5,2.7,0.207,66
