player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Arron Afflalo,SG,23,DET,74,8,16.7,1.8,4.1,0.437,0.6,1.4,0.402,1.2,2.6,0.456,0.508,0.8,1.0,0.817,0.4,1.4,1.8,0.6,0.4,0.2,0.6,1.9,4.9,0.357,5.5,0.8,-2.4,-0.7,10.1,1.0,0.237,-1.7,2.8,0.8,8.9,1.3,11.5,6.4,0.548,14.5,-0.1,1.8,0.069,63
LaMarcus Aldridge,PF,23,POR,81,81,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15.0,0.489,0.486,3.2,4.1,0.781,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1,0.023,9.3,2.0,1.9,0.7,15.6,3.3,0.269,1.2,9.5,6.1,19.1,1.4,8.0,12.5,0.529,23.7,3.0,9.5,0.151,77
Joe Alexander,SF,22,MIL,59,0,12.1,1.7,4.2,0.416,0.3,0.8,0.348,1.5,3.4,0.432,0.449,1.0,1.4,0.699,0.7,1.2,1.9,0.7,0.3,0.5,0.9,1.8,4.7,0.188,9.5,3.4,-3.3,0.2,12.3,0.7,0.339,-3.4,6.9,-0.3,10.1,1.1,15.6,9.5,0.494,20.9,-0.2,0.4,0.03,63
Malik Allen,PF,30,MIL,49,3,11.8,1.5,3.5,0.429,0.0,0.0,0.0,1.5,3.4,0.432,0.429,0.2,0.4,0.476,0.7,1.4,2.1,0.7,0.1,0.2,0.4,1.8,3.2,0.006,9.5,1.7,-4.6,-0.1,14.5,0.5,0.124,-4.5,6.8,-0.2,7.3,0.6,10.0,10.5,0.435,15.4,-0.4,0.3,0.024,59
Ray Allen,SG,33,BOS,79,79,36.4,6.3,13.2,0.48,2.5,6.2,0.409,3.8,7.0,0.542,0.575,3.0,3.2,0.952,0.8,2.7,3.5,2.8,0.9,0.2,1.7,2.0,18.2,0.467,12.6,0.4,3.9,-0.3,8.6,3.7,0.239,4.3,2.9,7.4,17.3,1.3,10.4,5.9,0.624,20.8,4.3,11.1,0.186,80
Tony Allen,SG,27,BOS,46,2,19.3,3.0,6.2,0.482,0.1,0.6,0.222,2.8,5.6,0.51,0.493,1.7,2.4,0.725,0.5,1.8,2.3,1.4,1.2,0.5,1.7,2.1,7.8,0.095,12.0,2.1,-0.3,2.5,10.7,1.8,0.384,-2.7,3.2,-0.2,12.9,3.2,18.8,7.1,0.541,21.5,0.4,1.6,0.085,66
Rafer Alston,PG,32,ORL,29,28,29.5,4.2,10.3,0.413,1.1,3.5,0.317,3.1,6.8,0.462,0.466,2.4,3.4,0.707,0.3,2.6,2.9,5.1,1.8,0.1,1.8,2.2,12.0,0.339,28.9,0.3,2.1,1.4,9.6,1.6,0.332,0.7,1.1,0.8,15.6,3.1,13.2,5.5,0.509,21.2,0.9,2.4,0.135,75
Chris Andersen,C,30,DEN,71,1,20.6,2.3,4.1,0.548,0.0,0.1,0.2,2.2,4.0,0.56,0.551,1.8,2.5,0.718,2.3,3.9,6.2,0.4,0.6,2.5,1.0,2.5,6.4,0.034,3.2,9.3,3.4,4.6,21.6,2.8,0.62,-1.2,13.4,2.5,18.1,1.4,15.7,17.6,0.608,13.4,2.0,5.4,0.176,67
Ryan Anderson,PF,20,NJN,66,30,19.9,2.4,6.2,0.393,1.0,2.9,0.365,1.4,3.3,0.417,0.478,1.5,1.8,0.845,1.6,3.1,4.7,0.8,0.7,0.3,1.0,2.4,7.4,0.464,6.4,1.2,-1.1,-1.0,19.0,1.2,0.285,-0.1,9.3,1.3,13.6,1.8,12.1,14.1,0.532,18.6,0.3,2.5,0.09,59
Carmelo Anthony,SF,24,DEN,66,66,34.5,8.1,18.3,0.443,1.0,2.6,0.371,7.2,15.7,0.455,0.469,5.6,7.1,0.793,1.6,5.2,6.8,3.4,1.1,0.4,3.0,3.0,22.8,0.141,18.1,0.8,0.3,-0.5,17.0,2.6,0.388,0.8,5.6,2.4,19.0,1.7,12.3,11.5,0.532,31.5,1.3,5.0,0.105,88
Joel Anthony,C,26,MIA,65,28,16.1,0.9,1.8,0.483,0.0,0.0,,0.9,1.8,0.483,0.483,0.5,0.7,0.652,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2,0.0,3.7,7.2,0.2,4.1,12.4,1.4,0.39,-4.0,10.1,0.4,9.3,1.0,22.9,11.2,0.521,8.0,0.6,1.7,0.079,58
Gilbert Arenas,PG,27,WAS,2,2,31.5,3.0,11.5,0.261,1.0,3.5,0.286,2.0,8.0,0.25,0.304,6.0,8.0,0.75,0.5,4.0,4.5,10.0,0.0,0.5,0.5,2.0,13.0,0.304,47.8,1.3,-1.7,-4.1,15.3,0.0,0.696,2.5,1.8,0.2,18.9,0.0,3.2,8.4,0.433,22.4,0.0,0.2,0.115,84
Trevor Ariza,SF,23,LAL,82,20,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9,0.32,10.4,0.9,3.1,2.1,13.4,3.5,0.284,1.0,6.4,2.5,15.5,3.5,11.5,10.0,0.544,16.6,2.6,6.1,0.146,73
Darrell Arthur,PF,20,MEM,76,64,19.3,2.5,5.7,0.438,0.0,0.0,0.0,2.5,5.7,0.44,0.438,0.5,0.8,0.667,1.4,3.1,4.6,0.6,0.7,0.7,0.6,2.7,5.6,0.005,5.0,2.9,-3.1,0.8,20.3,1.8,0.138,-3.9,8.9,-0.1,11.3,1.9,9.2,14.5,0.456,16.3,-0.4,1.7,0.055,65
Chucky Atkins,PG,34,OKC,19,0,15.6,1.3,4.5,0.291,0.5,2.1,0.25,0.8,2.4,0.326,0.349,0.6,0.6,0.917,0.3,0.7,0.9,1.6,0.4,0.1,0.7,1.2,3.7,0.465,15.5,0.2,-6.6,-2.6,5.1,0.1,0.14,-4.1,1.9,-0.3,5.1,1.4,12.5,3.5,0.389,15.5,-0.3,-0.2,-0.032,60
D.J. Augustin,PG,21,CHA,72,12,26.5,3.7,8.6,0.43,1.5,3.4,0.439,2.2,5.2,0.424,0.517,2.9,3.2,0.893,0.2,1.6,1.8,3.5,0.6,0.0,1.7,1.9,11.8,0.396,22.6,0.1,-0.7,-2.3,7.5,1.5,0.375,1.6,1.1,3.6,14.9,1.2,14.1,4.3,0.587,20.8,0.6,5.1,0.128,70
Kelenna Azubuike,SF,25,GSW,74,51,32.1,5.3,11.4,0.464,1.3,2.8,0.448,4.0,8.6,0.469,0.52,2.5,3.1,0.808,1.5,3.5,5.0,1.6,0.8,0.7,1.3,2.5,14.4,0.249,7.6,1.5,-0.7,-1.6,11.8,0.5,0.271,0.9,5.1,3.6,14.7,1.2,9.1,8.5,0.562,18.7,0.8,4.1,0.083,70
Renaldo Balkman,PF,24,DEN,53,10,14.7,2.1,3.7,0.558,0.0,0.1,0.286,2.0,3.6,0.568,0.563,0.8,1.2,0.646,1.6,2.2,3.8,0.6,0.9,0.4,0.7,1.8,5.0,0.036,6.9,2.3,2.7,2.2,16.9,1.3,0.33,0.5,13.2,1.3,16.8,3.1,13.4,15.1,0.585,14.9,0.9,2.6,0.162,67
Marcus Banks,PG,27,TOR,6,0,6.7,1.0,3.0,0.333,0.2,0.8,0.2,0.8,2.2,0.385,0.361,0.2,0.5,0.333,0.2,0.3,0.5,1.0,0.2,0.0,0.5,0.8,2.3,0.278,24.2,0.0,-9.7,-4.1,5.8,0.0,0.167,-5.6,3.0,-0.1,4.0,1.3,13.4,4.4,0.362,25.7,-0.1,-0.1,-0.139,63
