player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Clarence Weatherspoon,PF,33,HOU,37,0,17.6,2.3,4.6,0.503,0.0,0.0,0.0,2.3,4.6,0.506,0.503,0.9,1.4,0.66,1.6,2.5,4.2,0.5,0.6,0.4,0.7,1.5,5.6,0.006,4.7,1.5,-0.9,0.6,16.2,1.1,0.31,-1.5,11.5,0.9,15.0,1.8,11.8,13.9,0.533,16.1,0.2,2.0,0.145,70
Chris Webber,PF,30,SAC,23,23,36.1,7.6,18.3,0.413,0.0,0.2,0.2,7.5,18.1,0.416,0.414,3.5,5.0,0.711,2.1,6.6,8.7,4.6,1.3,0.9,2.6,3.3,18.7,0.012,22.0,1.7,-0.3,0.7,20.3,0.9,0.271,-1.0,6.7,0.1,17.2,1.9,11.3,13.6,0.456,28.9,0.4,1.1,0.061,85
Bonzi Wells,SG,27,MEM,59,17,24.9,5.0,11.4,0.437,0.4,1.0,0.344,4.6,10.4,0.446,0.453,2.0,2.6,0.75,1.0,2.4,3.4,1.8,1.2,0.3,2.2,2.7,12.3,0.09,13.0,0.8,-2.4,-0.6,11.1,1.5,0.231,-1.8,4.3,-0.5,13.5,2.5,14.8,7.7,0.489,26.8,-0.2,1.0,0.034,81
Jiri Welsch,SG,24,BOS,81,68,26.9,3.2,7.6,0.428,0.9,2.2,0.381,2.4,5.3,0.448,0.484,1.9,2.5,0.743,0.7,2.9,3.7,2.3,1.2,0.1,1.6,2.2,9.2,0.296,14.0,0.2,-0.7,-0.1,12.2,1.9,0.337,-0.6,3.2,1.7,12.6,2.4,15.5,7.8,0.531,17.4,0.7,3.6,0.08,74
David Wesley,SG,33,NOH,61,60,32.8,5.1,13.1,0.389,1.5,4.7,0.323,3.6,8.4,0.425,0.446,2.2,3.0,0.753,0.5,1.7,2.2,2.9,1.2,0.2,1.6,2.4,14.0,0.356,16.1,0.5,-2.0,-2.0,6.2,1.4,0.228,0.1,1.6,1.4,12.6,1.9,10.2,3.8,0.483,22.4,0.0,2.8,0.067,76
David West,PF,23,NOH,71,1,13.1,1.5,3.2,0.474,0.0,0.0,0.0,1.5,3.2,0.478,0.474,0.8,1.1,0.713,1.6,2.5,4.2,0.8,0.4,0.4,0.7,1.6,3.8,0.009,11.1,2.3,0.1,1.4,22.6,1.3,0.351,-1.3,14.0,1.4,15.9,1.6,15.4,18.2,0.519,15.3,0.5,2.8,0.143,69
Jahidi White,C,27,PHO,61,17,14.1,1.6,3.1,0.524,0.0,0.0,,1.6,3.1,0.524,0.524,1.0,2.1,0.5,1.6,2.7,4.3,0.1,0.4,0.8,1.1,2.9,4.3,0.0,1.3,4.3,-4.8,-0.5,21.8,1.0,0.667,-4.3,12.8,0.2,11.9,1.5,21.0,17.3,0.534,16.2,-0.6,1.2,0.067,69
Rodney White,SF,23,DEN,72,0,13.7,3.0,6.5,0.459,0.5,1.2,0.379,2.5,5.3,0.478,0.495,1.1,1.4,0.75,0.6,1.7,2.3,0.8,0.4,0.3,1.1,1.5,7.5,0.186,11.3,1.4,-2.6,-2.1,14.1,0.9,0.222,-0.5,5.0,0.8,16.4,1.7,13.2,9.5,0.527,26.4,-0.1,1.8,0.087,61
Rodney White,SF,23,DEN,72,0,13.7,3.0,6.5,0.459,0.5,1.2,0.379,2.5,5.3,0.478,0.495,1.1,1.4,0.75,0.6,1.7,2.3,0.8,0.4,0.3,1.1,1.5,7.5,0.186,11.3,1.4,-2.6,-2.1,14.1,0.9,0.222,-0.5,5.0,0.8,16.4,1.7,13.2,9.5,0.527,26.4,-0.1,1.8,0.087,72
Chris Wilcox,C,21,LAC,65,17,20.6,3.5,6.7,0.521,0.0,0.0,0.0,3.5,6.7,0.522,0.521,1.6,2.3,0.7,1.9,2.8,4.7,0.8,0.4,0.3,1.2,2.8,8.6,0.002,7.0,1.1,-2.1,-2.2,15.4,0.3,0.344,0.0,10.5,2.3,15.3,1.1,13.7,13.0,0.557,19.3,0.0,2.6,0.094,71
