player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Quincy Acy,SF,23,SAC,56,0,14.0,1.1,2.3,0.472,0.0,0.2,0.2,1.0,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2.0,2.7,0.079,4.4,2.4,-1.5,1.2,19.5,0.7,0.354,-2.8,9.5,0.5,9.6,1.2,16.0,14.4,0.518,9.8,0.1,1.3,0.078,72
Steven Adams,C,20,OKC,81,20,14.8,1.1,2.3,0.503,0.0,0.0,,1.1,2.3,0.503,0.503,1.0,1.7,0.581,1.8,2.3,4.1,0.5,0.5,0.7,0.9,2.5,3.3,0.0,4.9,3.9,0.3,2.4,17.1,1.9,0.735,-2.1,14.1,0.9,11.2,1.7,22.5,15.6,0.541,11.7,0.7,2.9,0.114,75
Jeff Adrien,PF,27,MIL,28,12,25.2,4.3,8.4,0.515,0.0,0.0,,4.3,8.4,0.515,0.515,2.3,3.4,0.67,2.5,5.3,7.8,1.1,0.6,0.8,1.1,2.6,10.9,0.0,7.7,2.4,-1.6,-0.7,25.0,0.6,0.4,-0.9,10.9,1.2,18.4,1.3,10.1,17.7,0.552,19.7,0.1,1.8,0.121,71
Arron Afflalo,SG,28,ORL,73,73,35.0,6.4,13.8,0.459,1.8,4.1,0.427,4.6,9.7,0.473,0.522,3.8,4.6,0.815,0.4,3.2,3.6,3.4,0.5,0.0,2.0,1.9,18.2,0.297,16.9,0.1,-0.6,-2.3,10.2,1.0,0.332,1.7,1.4,4.3,16.0,0.7,11.2,5.8,0.574,23.3,0.9,5.3,0.099,78
Alexis Ajinca,C,25,NOP,56,30,17.0,2.4,4.4,0.546,0.0,0.0,0.0,2.4,4.4,0.548,0.546,1.0,1.2,0.836,1.7,3.3,4.9,0.7,0.4,0.8,1.1,3.3,5.9,0.004,6.6,4.1,-0.7,0.8,22.7,0.9,0.269,-1.5,11.3,1.2,14.6,1.3,18.4,16.9,0.589,16.3,0.3,2.1,0.104,68
Cole Aldrich,C,25,NYK,46,2,7.2,0.7,1.3,0.541,0.0,0.0,,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,0.0,6.4,8.1,1.2,3.8,33.8,0.6,0.492,-2.6,12.8,0.6,19.1,1.3,19.5,23.0,0.62,13.0,0.3,1.2,0.178,70
LaMarcus Aldridge,PF,28,POR,69,69,36.2,9.4,20.6,0.458,0.0,0.2,0.2,9.4,20.4,0.461,0.459,4.3,5.2,0.822,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,0.011,13.0,1.9,0.3,0.7,25.5,3.5,0.253,-0.4,7.2,4.0,21.8,1.3,7.2,16.5,0.507,29.8,1.5,7.5,0.144,90
Lavoy Allen,PF,24,IND,14,0,8.0,1.2,2.4,0.5,0.0,0.0,,1.2,2.4,0.5,0.5,0.4,0.7,0.6,0.9,1.5,2.4,0.4,0.1,0.4,0.3,0.8,2.9,0.0,9.0,4.1,0.4,2.2,20.1,0.2,0.294,-1.7,13.7,0.2,17.5,0.9,9.4,17.1,0.521,17.3,0.1,0.4,0.18,77
Ray Allen,SG,38,MIA,73,9,26.5,3.3,7.4,0.442,1.6,4.2,0.375,1.7,3.2,0.53,0.549,1.4,1.6,0.905,0.3,2.5,2.8,2.0,0.7,0.1,1.2,1.6,9.6,0.569,11.1,0.4,0.1,-1.2,11.4,1.5,0.214,1.3,1.6,2.5,12.8,1.5,12.4,6.7,0.59,16.8,1.0,4.1,0.101,78
Tony Allen,SG,32,MEM,55,28,23.2,3.7,7.5,0.494,0.2,0.9,0.234,3.5,6.7,0.527,0.507,1.4,2.2,0.628,1.4,2.3,3.8,1.7,1.6,0.3,1.6,2.2,9.0,0.114,11.7,1.2,2.3,2.4,12.0,2.1,0.293,-0.1,7.3,0.5,15.6,3.8,16.2,9.6,0.531,20.1,1.4,2.7,0.1,80
