player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Quincy Acy,PF,24,NYK,68,22,18.9,2.2,4.9,0.459,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,0.181,8.7,1.4,-3.1,-0.8,20.5,0.7,0.293,-2.3,6.9,1.0,11.9,1.1,13.8,13.5,0.533,15.5,-0.3,1.7,0.063,72
Jordan Adams,SG,20,MEM,30,0,8.3,1.2,2.9,0.407,0.3,0.8,0.4,0.8,2.0,0.41,0.465,0.5,0.8,0.609,0.3,0.6,0.9,0.5,0.5,0.2,0.5,0.8,3.1,0.291,10.1,2.3,-0.6,1.2,8.7,0.4,0.267,-1.8,4.2,0.0,12.8,3.4,12.7,6.4,0.489,20.4,0.1,0.4,0.073,70
Steven Adams,C,21,OKC,70,67,25.3,3.1,5.7,0.544,0.0,0.0,0.0,3.1,5.7,0.547,0.544,1.5,2.9,0.502,2.8,4.6,7.5,0.9,0.5,1.2,1.4,3.2,7.7,0.005,5.5,3.8,0.4,1.8,19.3,2.2,0.514,-1.4,12.2,1.9,14.1,1.1,16.8,15.8,0.549,14.3,1.1,4.1,0.111,77
Jeff Adrien,PF,28,MIN,17,0,12.6,1.1,2.6,0.432,0.0,0.0,,1.1,2.6,0.432,0.432,1.3,2.2,0.579,1.4,3.2,4.5,0.9,0.2,0.5,0.5,1.8,3.5,0.0,10.5,3.3,-2.2,0.5,29.6,0.2,0.864,-2.7,11.9,0.2,14.2,0.9,12.9,20.5,0.494,14.3,0.0,0.4,0.087,70
Arron Afflalo,SG,29,POR,25,19,30.1,3.8,9.1,0.414,1.4,3.6,0.4,2.3,5.5,0.423,0.493,1.6,1.9,0.851,0.2,2.4,2.7,1.1,0.4,0.1,1.3,2.4,10.6,0.396,5.5,0.2,-2.3,-0.8,8.5,0.5,0.207,-1.5,0.9,0.2,8.2,0.6,11.8,4.8,0.533,16.7,-0.1,0.8,0.049,75
Alexis Ajinca,C,26,NOP,68,8,14.1,2.7,4.8,0.55,0.0,0.0,,2.7,4.8,0.55,0.55,1.2,1.5,0.818,1.5,3.1,4.6,0.7,0.3,0.8,1.0,2.2,6.5,0.0,8.2,4.0,0.2,0.6,25.0,1.2,0.301,-0.5,12.4,1.9,19.9,1.2,15.6,18.7,0.595,21.1,0.5,3.2,0.159,72
Furkan Aldemir,PF,23,PHI,41,9,13.2,1.0,1.9,0.513,0.0,0.1,0.0,1.0,1.8,0.548,0.513,0.3,0.7,0.481,1.9,2.4,4.3,0.7,0.4,0.4,0.4,2.3,2.3,0.064,8.3,2.4,-0.7,2.0,20.7,0.7,0.346,-2.7,14.9,0.7,12.0,1.6,15.9,17.7,0.517,8.6,0.2,1.4,0.122,69
Cole Aldrich,C,26,NYK,61,16,16.0,2.4,4.9,0.478,0.0,0.0,,2.4,4.9,0.478,0.478,0.8,1.0,0.781,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,0.0,13.3,5.5,0.9,3.1,28.9,1.4,0.213,-2.2,11.6,0.8,18.1,2.0,15.2,20.0,0.513,18.3,0.7,2.2,0.107,74
LaMarcus Aldridge,PF,29,POR,71,71,35.4,9.3,19.9,0.466,0.5,1.5,0.352,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,0.074,9.2,1.9,0.3,0.0,22.9,3.7,0.256,0.3,7.7,4.9,22.8,1.0,7.2,15.5,0.528,30.2,1.4,8.6,0.165,89
Lavoy Allen,C,25,IND,63,0,17.0,2.2,4.7,0.472,0.0,0.0,,2.2,4.7,0.472,0.472,0.5,0.7,0.702,2.0,3.2,5.1,1.2,0.2,0.7,0.6,1.6,5.0,0.0,10.9,3.1,0.8,2.2,20.5,1.6,0.157,-1.4,12.8,1.3,14.9,0.7,11.1,16.7,0.493,15.2,0.8,2.8,0.127,72
