player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Tariq Abdul-Wahad,SG,28,DAL,14,0,14.6,1.9,4.1,0.466,0.0,0.1,0.0,1.9,4.1,0.474,0.466,0.2,0.4,0.5,1.0,1.9,2.9,1.5,0.4,0.2,0.5,1.9,4.1,0.017,15.4,1.1,-0.5,0.7,14.0,0.2,0.103,-1.2,7.6,0.2,12.4,1.5,10.3,10.8,0.47,15.0,0.1,0.4,0.104,65
Shareef Abdur-Rahim,PF,26,ATL,81,81,38.1,7.0,14.6,0.478,0.3,0.7,0.35,6.7,13.9,0.485,0.487,5.6,6.7,0.841,2.2,6.2,8.4,3.0,1.1,0.5,2.6,3.0,19.9,0.051,14.7,0.9,1.7,-0.4,17.8,2.3,0.457,2.1,6.7,7.4,19.9,1.5,13.0,12.5,0.566,24.2,2.8,9.7,0.151,81
Courtney Alexander,PG,25,NOH,66,7,20.6,2.9,7.7,0.382,0.3,0.9,0.333,2.6,6.8,0.388,0.401,1.8,2.2,0.808,0.6,1.2,1.8,1.2,0.5,0.1,1.0,1.9,7.9,0.113,9.8,0.3,-5.5,-2.3,6.8,1.0,0.289,-3.2,3.3,0.1,9.3,1.2,10.7,5.0,0.459,21.3,-1.2,1.1,0.04,73
Malik Allen,PF,24,MIA,80,73,29.0,4.2,9.9,0.424,0.0,0.1,0.0,4.2,9.8,0.426,0.424,1.2,1.5,0.802,1.7,3.6,5.3,0.7,0.5,1.0,1.6,2.9,9.6,0.005,4.4,2.6,-3.9,0.6,14.9,2.6,0.153,-4.6,6.5,-1.7,9.9,0.9,13.2,10.6,0.455,19.7,-1.1,0.9,0.018,68
Ray Allen,SG,27,SEA,29,29,41.3,8.5,19.3,0.441,2.7,7.7,0.351,5.8,11.7,0.5,0.511,4.8,5.2,0.92,1.7,3.9,5.6,5.9,1.6,0.1,2.8,2.4,24.5,0.396,27.3,0.2,6.4,-0.7,11.4,1.0,0.268,7.1,4.7,3.8,23.3,2.1,11.5,8.0,0.567,27.7,2.5,4.8,0.193,90
Rafer Alston,PG,26,TOR,47,4,20.9,3.0,7.1,0.415,1.1,2.8,0.392,1.9,4.4,0.429,0.491,0.8,1.1,0.685,0.4,1.8,2.3,4.1,0.8,0.3,1.8,2.6,7.8,0.388,34.0,1.1,-1.5,-2.1,10.4,0.5,0.161,0.6,2.3,0.7,14.4,2.1,19.3,6.2,0.51,20.7,0.1,1.2,0.059,73
Chris Andersen,C,24,DEN,59,3,15.4,1.9,4.8,0.4,0.0,0.0,0.0,1.9,4.8,0.401,0.4,1.3,2.4,0.55,1.8,2.8,4.6,0.5,0.5,1.0,1.0,1.5,5.2,0.004,6.3,5.3,-2.7,2.1,22.3,1.7,0.491,-4.8,13.3,-0.5,14.0,1.7,14.8,17.6,0.44,19.9,-0.2,1.1,0.059,63
Derek Anderson,PG,28,POR,76,76,33.6,4.7,10.9,0.427,1.5,4.4,0.35,3.1,6.6,0.477,0.496,3.0,3.5,0.859,0.7,2.8,3.5,4.3,1.2,0.2,1.7,1.9,13.9,0.398,20.7,0.5,2.5,-0.6,10.0,2.2,0.323,3.1,2.5,5.9,16.9,1.9,11.9,6.2,0.556,19.5,2.9,8.1,0.153,77
Kenny Anderson,PG,32,NOH,23,1,19.4,2.7,6.5,0.407,0.0,0.1,0.5,2.6,6.4,0.405,0.41,0.7,1.0,0.727,0.6,1.3,2.0,3.3,0.8,0.2,1.8,1.9,6.0,0.013,29.0,0.6,-4.6,-0.9,8.2,0.5,0.147,-3.7,3.6,-0.4,10.2,2.2,20.8,5.9,0.435,20.6,-0.3,0.1,0.009,71
Shandon Anderson,SF,29,NYK,82,9,21.1,3.0,6.5,0.462,0.6,1.7,0.371,2.4,4.8,0.494,0.51,1.7,2.3,0.732,0.8,2.3,3.1,1.1,0.9,0.2,1.4,2.2,8.4,0.261,8.3,0.8,-0.8,-0.2,13.2,1.4,0.354,-0.6,4.2,1.2,13.4,2.2,15.5,8.6,0.553,19.6,0.5,2.7,0.074,69
Robert Archibald,PF,22,MEM,12,0,6.0,0.5,1.7,0.3,0.0,0.0,,0.5,1.7,0.3,0.3,0.6,1.5,0.389,0.5,0.9,1.4,0.3,0.0,0.3,0.6,0.8,1.6,0.0,6.1,2.9,-11.7,-2.2,17.0,0.0,0.9,-9.5,9.5,-0.3,2.4,0.0,20.0,13.3,0.34,21.8,-0.2,-0.2,-0.158,56
Gilbert Arenas,PG,21,GSW,82,82,35.0,6.2,14.4,0.431,1.3,3.8,0.348,4.9,10.6,0.461,0.478,4.5,5.7,0.791,1.2,3.5,4.7,6.3,1.5,0.2,3.5,3.2,18.3,0.265,30.0,0.4,2.2,-1.6,10.6,0.7,0.397,3.9,3.6,5.8,18.6,2.2,17.3,7.2,0.54,24.9,3.1,6.5,0.109,83
Brandon Armstrong,SG,22,NJN,17,0,4.1,0.5,1.6,0.333,0.1,0.4,0.167,0.5,1.2,0.381,0.352,0.3,0.4,0.833,0.0,0.2,0.2,0.1,0.2,0.1,0.3,0.5,1.4,0.222,4.8,1.1,-9.5,-1.8,6.6,0.1,0.222,-7.7,0.0,-0.2,3.9,2.3,14.4,3.3,0.405,22.6,-0.1,-0.1,-0.05,63
Darrell Armstrong,PG,34,ORL,82,23,28.7,3.2,7.8,0.409,1.0,2.8,0.336,2.3,5.0,0.45,0.47,2.0,2.3,0.878,1.1,2.5,3.6,3.9,1.6,0.2,2.0,2.0,9.4,0.361,21.7,0.4,1.2,0.3,10.2,2.2,0.292,0.8,4.3,2.7,14.6,3.0,18.1,7.2,0.53,16.9,1.9,4.9,0.1,75
