player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Arron Afflalo,SG,25,DEN,69,69,33.7,4.5,9.1,0.498,1.5,3.6,0.423,3.0,5.5,0.546,0.581,2.0,2.4,0.847,0.7,3.0,3.6,2.4,0.5,0.4,1.0,2.2,12.6,0.396,10.9,1.0,2.1,-0.2,9.9,1.4,0.26,2.4,2.3,4.8,13.6,0.7,9.2,6.2,0.62,14.8,2.4,6.2,0.128,72
Cole Aldrich,C,22,OKC,18,0,7.9,0.4,0.8,0.533,0.0,0.0,,0.4,0.8,0.533,0.533,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,0.0,4.0,3.6,-0.8,2.6,17.5,0.2,0.267,-3.4,11.1,0.0,7.0,1.8,32.3,14.4,0.537,7.9,0.0,0.2,0.066,60
LaMarcus Aldridge,PF,25,POR,81,81,39.6,8.7,17.5,0.5,0.0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.791,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,0.016,10.1,2.4,2.4,0.5,17.2,3.5,0.314,1.9,10.1,7.6,21.5,1.4,8.7,13.5,0.549,25.7,3.5,11.1,0.166,83
Ray Allen,SG,35,BOS,80,80,36.1,6.0,12.2,0.491,2.1,4.7,0.444,3.9,7.5,0.52,0.577,2.4,2.7,0.881,0.6,2.8,3.4,2.7,1.0,0.2,1.5,1.8,16.5,0.387,12.7,0.4,3.6,0.4,9.0,4.2,0.224,3.2,2.3,5.8,16.4,1.4,9.8,5.8,0.615,19.8,4.1,10.0,0.166,76
Tony Allen,SG,29,MEM,72,31,20.8,3.5,6.8,0.51,0.1,0.3,0.174,3.4,6.5,0.527,0.514,1.9,2.5,0.753,1.0,1.7,2.7,1.4,1.8,0.6,1.2,2.2,8.9,0.047,10.9,2.4,3.6,2.9,9.9,2.7,0.37,0.7,5.5,2.0,18.3,4.5,13.1,7.7,0.562,19.9,2.1,4.7,0.152,73
Chris Andersen,C,32,DEN,45,0,16.3,1.8,3.0,0.599,0.0,0.0,0.0,1.8,3.0,0.603,0.599,1.9,3.0,0.637,1.7,3.2,4.9,0.4,0.5,1.3,0.6,1.8,5.6,0.007,4.0,6.0,3.3,3.1,22.1,1.2,0.985,0.2,12.2,1.9,19.0,1.6,11.3,17.3,0.636,13.5,1.0,3.2,0.207,74
Ryan Anderson,PF,22,ORL,64,14,22.3,3.5,8.2,0.43,2.1,5.3,0.393,1.4,2.9,0.5,0.558,1.5,1.8,0.812,2.0,3.5,5.5,0.8,0.5,0.6,0.8,2.1,10.6,0.65,6.2,2.1,4.4,0.2,18.1,2.5,0.223,4.1,10.8,4.0,19.0,1.1,7.8,14.5,0.591,20.4,2.3,6.4,0.216,75
Carmelo Anthony,SF,26,NYK,27,27,36.2,9.1,19.9,0.461,2.0,4.6,0.424,7.2,15.2,0.472,0.51,6.1,7.0,0.872,1.5,5.2,6.7,3.0,0.9,0.6,2.4,3.3,26.3,0.233,15.3,1.1,1.2,-2.3,16.5,0.6,0.351,3.5,4.8,2.6,22.8,1.3,9.4,10.6,0.575,31.0,0.8,3.2,0.157,81
Joel Anthony,C,28,MIA,75,11,19.5,0.7,1.3,0.535,0.0,0.0,,0.7,1.3,0.535,0.535,0.6,1.0,0.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0,0.0,2.2,5.0,0.9,3.1,12.4,2.1,0.737,-2.2,9.0,1.2,7.3,0.4,21.5,10.8,0.583,5.3,1.1,3.3,0.107,60
Gilbert Arenas,PG,29,ORL,49,2,21.8,2.8,8.2,0.344,1.0,3.7,0.275,1.8,4.5,0.401,0.406,1.3,1.8,0.744,0.3,2.1,2.4,3.2,0.9,0.2,2.2,2.3,8.0,0.45,23.8,0.7,-2.1,0.8,11.0,1.7,0.213,-2.8,1.8,-1.6,8.6,2.2,19.3,6.5,0.444,23.7,0.0,0.2,0.007,66
Trevor Ariza,SF,25,NOH,75,75,34.7,4.0,10.2,0.398,1.1,3.6,0.303,2.9,6.5,0.45,0.451,1.8,2.6,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11.0,0.356,10.0,1.0,1.1,2.3,16.4,3.8,0.259,-1.2,2.8,-0.4,11.3,2.5,12.2,9.5,0.487,17.7,2.0,3.4,0.062,72
Omer Asik,C,24,CHI,82,0,12.1,1.0,1.7,0.553,0.0,0.0,,1.0,1.7,0.553,0.553,0.9,1.8,0.503,1.4,2.4,3.7,0.4,0.2,0.7,0.8,1.9,2.8,0.0,4.7,4.3,-0.5,3.0,22.3,2.2,1.028,-3.5,13.7,0.5,11.8,1.1,23.8,18.1,0.559,12.5,0.4,2.7,0.13,69
D.J. Augustin,PG,23,CHA,82,82,33.6,4.9,11.7,0.416,1.4,4.1,0.333,3.5,7.6,0.461,0.474,3.3,3.6,0.906,0.5,2.3,2.7,6.1,0.7,0.0,1.9,1.9,14.4,0.348,31.1,0.1,-0.3,-2.8,8.3,1.3,0.31,2.4,1.7,4.9,15.9,1.0,12.5,4.9,0.541,21.2,1.1,6.2,0.108,72
Renaldo Balkman,SF,26,NYK,3,0,6.0,0.3,1.3,0.25,0.3,0.7,0.5,0.0,0.7,0.0,0.375,0.0,0.0,,0.3,0.7,1.0,0.0,0.3,0.0,0.3,1.3,1.0,0.5,0.0,0.0,-9.6,-3.1,12.8,0.0,0.0,-6.6,6.3,0.0,0.7,2.8,20.0,9.5,0.375,12.3,0.0,0.0,-0.05,62
Leandro Barbosa,SG,28,TOR,58,0,24.1,5.1,11.3,0.45,1.2,3.7,0.338,3.8,7.6,0.505,0.505,1.9,2.4,0.796,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,13.3,0.326,14.6,0.3,-2.1,-3.5,7.4,0.1,0.21,1.4,1.2,1.4,15.3,1.9,10.5,4.2,0.539,25.6,0.0,1.5,0.052,75
J.J. Barea,PG,26,DAL,81,2,20.6,3.5,8.0,0.439,0.8,2.3,0.349,2.7,5.7,0.476,0.49,1.6,1.9,0.847,0.4,1.6,2.0,3.9,0.4,0.0,1.7,1.7,9.5,0.291,31.2,0.0,-1.1,-1.7,8.8,1.4,0.242,0.6,2.1,1.9,14.8,0.9,15.9,5.6,0.535,23.9,0.4,3.2,0.093,68
Andrea Bargnani,C,25,TOR,66,66,35.7,8.0,17.8,0.448,1.2,3.4,0.345,6.8,14.4,0.472,0.48,4.3,5.3,0.82,1.1,4.1,5.2,1.8,0.5,0.7,2.3,2.4,21.4,0.19,8.8,1.5,-2.7,-2.9,13.9,0.3,0.298,0.2,3.6,2.2,16.4,0.7,10.3,8.6,0.533,28.2,-0.4,2.5,0.052,77
Matt Barnes,SF,30,LAL,53,0,19.2,2.5,5.3,0.47,0.6,2.0,0.318,1.8,3.2,0.564,0.53,1.1,1.5,0.779,1.4,2.9,4.3,1.3,0.7,0.4,1.1,2.4,6.7,0.384,10.5,1.6,1.8,1.2,16.7,1.6,0.276,0.6,8.4,1.4,14.6,2.0,15.6,12.7,0.569,16.6,1.0,3.0,0.142,73
Brandon Bass,PF,25,ORL,76,51,26.1,4.4,8.5,0.515,0.0,0.0,0.0,4.4,8.5,0.516,0.515,2.5,3.1,0.815,1.8,3.8,5.6,0.8,0.4,0.7,1.3,2.1,11.2,0.003,5.0,2.0,-0.5,0.9,16.7,3.1,0.361,-1.4,8.1,3.2,15.9,0.7,11.5,12.5,0.571,19.8,0.7,6.3,0.153,74
Tony Battie,C,34,PHI,38,0,9.9,1.2,2.5,0.469,0.1,0.1,0.667,1.1,2.4,0.462,0.479,0.2,0.4,0.571,0.4,2.2,2.6,0.3,0.1,0.4,0.3,1.6,2.6,0.031,4.8,3.0,-4.5,0.8,25.1,0.6,0.146,-5.3,5.2,0.0,9.5,0.7,10.5,15.1,0.489,13.9,-0.2,0.6,0.075,58
Shane Battier,SF,32,MEM,23,0,24.2,1.9,4.4,0.426,0.6,1.8,0.333,1.3,2.6,0.492,0.495,0.7,0.7,0.882,1.4,2.6,4.0,1.4,0.7,0.4,0.7,1.3,5.0,0.416,7.9,1.5,1.2,1.3,13.0,0.6,0.168,-0.2,6.8,0.5,10.6,1.5,12.9,9.9,0.53,10.1,0.4,1.1,0.097,72
Nicolas Batum,SF,22,POR,80,67,31.5,4.6,10.1,0.455,1.5,4.3,0.345,3.1,5.8,0.535,0.528,1.7,2.1,0.841,1.4,3.2,4.5,1.5,0.9,0.6,1.0,2.4,12.4,0.424,8.1,1.6,1.7,0.0,12.8,2.3,0.203,1.7,5.1,4.4,14.8,1.5,8.6,8.8,0.563,17.8,2.4,6.6,0.126,77
Jerryd Bayless,PG,22,TOR,60,14,22.5,3.4,7.8,0.429,0.8,2.2,0.348,2.6,5.6,0.461,0.479,2.6,3.2,0.81,0.4,2.1,2.5,4.0,0.6,0.1,1.8,2.2,10.0,0.282,27.4,0.2,-1.6,-2.6,11.4,0.1,0.404,1.1,2.1,1.7,14.9,1.4,16.6,6.6,0.545,22.0,0.1,1.8,0.064,71
