player,position,age,team,games,games started,minutes player,field goals per game,field goal attempts per game,field goal percentage,3-point field goals per game,3-point field goal attempted per game,3-point goal percentage,2-point field goals per game,2-point field goals attempted per game,2-point field goal percentage,effective field goal percentage,free throws per game,free throw attempts per game,free throw percentage,offensive rebounds per game,defensive rebounds per game,total rebounds per game,assists per game,steals per game,blocks per game,turnovers per game,personal fouls per game,points per game,3 point attempt rate,assist percentage,block percentage,box plus minus,defensive box plus minux,defensive rebound percentage,defensive win shares,free throw attempt rate,offensive box plus minux,offensive rebound percentage,offensive win shares,player efficiency rating,steal percentage,turnover percentage,total rebound percentage,true shooting percentage,usage percentage,value over replacement player,win shares,win shares per 48 minutes,rating
Arron Afflalo,SG,24,DEN,82,75,27.1,3.3,7.1,0.465,1.3,3.0,0.434,2.0,4.1,0.488,0.557,0.9,1.2,0.735,0.7,2.4,3.1,1.7,0.6,0.4,0.9,2.7,8.8,0.426,9.3,1.0,0.3,-0.5,9.9,1.4,0.168,0.8,3.1,2.8,10.9,1.0,10.5,6.5,0.576,14.0,1.3,4.3,0.092,65
Alexis Ajinca,C,21,CHA,6,0,5.0,0.8,1.7,0.5,0.0,0.0,,0.8,1.7,0.5,0.5,0.0,0.2,0.0,0.2,0.5,0.7,0.0,0.2,0.2,0.3,0.8,1.7,0.0,0.0,2.7,-10.4,-2.0,11.8,0.0,0.1,-8.5,4.1,-0.1,6.3,1.8,16.1,8.0,0.479,19.3,-0.1,0.0,-0.013,43
LaMarcus Aldridge,PF,24,POR,78,78,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.497,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,0.014,9.9,1.3,1.6,0.6,18.6,3.3,0.26,0.9,8.1,5.5,18.2,1.3,7.4,13.3,0.535,22.9,2.6,8.8,0.145,77
Joe Alexander,SF,23,CHI,8,0,3.6,0.1,0.8,0.167,0.0,0.1,0.0,0.1,0.6,0.2,0.167,0.3,0.4,0.667,0.3,0.4,0.6,0.3,0.1,0.1,0.0,1.1,0.5,0.167,9.3,2.6,-3.7,1.5,11.3,0.0,0.5,-5.2,7.8,0.0,2.8,1.8,0.0,9.6,0.273,11.3,0.0,0.0,0.03,58
Malik Allen,PF,31,DEN,51,3,8.9,0.9,2.3,0.397,0.0,0.1,0.167,0.9,2.2,0.409,0.401,0.2,0.3,0.923,0.7,0.9,1.6,0.3,0.2,0.1,0.4,1.3,2.1,0.052,5.1,0.8,-5.0,-0.8,11.5,0.3,0.112,-4.2,9.2,-0.3,5.9,1.2,15.3,10.4,0.431,14.0,-0.3,0.1,0.009,58
Ray Allen,SG,34,BOS,80,80,35.2,5.8,12.2,0.477,1.8,5.0,0.363,4.0,7.2,0.556,0.551,2.9,3.2,0.913,0.6,2.6,3.2,2.6,0.8,0.3,1.6,2.3,16.3,0.41,12.3,0.7,1.7,-0.7,8.8,2.9,0.26,2.3,2.0,5.1,15.2,1.2,10.6,5.5,0.601,20.2,2.6,7.9,0.135,79
Tony Allen,SG,28,BOS,54,8,16.5,2.4,4.7,0.51,0.0,0.1,0.0,2.4,4.6,0.52,0.51,1.3,2.2,0.605,1.0,1.7,2.7,1.3,1.1,0.4,1.2,2.0,6.1,0.02,13.0,1.7,0.8,2.6,12.5,1.6,0.47,-1.8,7.4,0.2,14.2,3.5,17.8,10.0,0.54,19.6,0.6,1.9,0.1,66
Rafer Alston,PG,33,MIA,25,25,26.2,2.4,6.8,0.355,1.2,3.2,0.37,1.2,3.5,0.341,0.444,0.6,1.1,0.556,0.2,2.0,2.2,2.9,0.9,0.2,1.4,2.1,6.6,0.479,16.7,0.6,-2.3,0.2,8.9,0.8,0.16,-2.4,0.7,-0.4,7.7,1.9,15.8,4.8,0.456,15.4,0.0,0.4,0.031,72
Chris Andersen,PF,31,DEN,76,0,22.3,1.9,3.3,0.566,0.0,0.0,0.0,1.9,3.3,0.573,0.566,2.2,3.1,0.695,1.9,4.4,6.4,0.4,0.6,1.9,0.8,2.3,5.9,0.012,2.8,6.3,2.1,3.3,22.7,2.7,0.94,-1.1,10.1,3.2,15.8,1.3,14.3,16.4,0.631,10.8,1.8,5.9,0.166,66
David Andersen,C,29,HOU,63,0,14.1,2.3,5.4,0.432,0.4,1.2,0.346,1.9,4.2,0.458,0.472,0.7,1.1,0.687,0.9,2.4,3.3,0.7,0.2,0.2,0.6,1.9,5.8,0.229,8.1,1.0,-3.8,-1.3,20.6,0.9,0.197,-2.5,6.7,0.4,12.1,0.9,9.1,13.4,0.497,20.2,-0.4,1.3,0.07,57
