,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
1514,Chris,Paul,24,2009,NOH,PG,45,45,1712,38.04444444,314,637,0.492935636,52,127,0.409448819,262,510,0.51372549,161,190,0.847368421,20,171,480,96,8,112,4.285714286,118,841,18.68888889,95
1515,Deron,Williams,25,2009,UTA,PG,76,76,2802,36.86842105,494,1053,0.469135802,96,259,0.370656371,398,794,0.501259446,335,418,0.801435407,50,253,798,96,16,252,3.166666667,208,1419,18.67105263,92
1516,Rajon,Rondo,23,2009,BOS,PG,81,81,2963,36.58024691,459,904,0.507743363,17,80,0.2125,442,824,0.536407767,175,282,0.620567376,100,260,794,189,11,246,3.227642276,198,1110,13.7037037,87
1517,Derrick,Rose,21,2009,CHI,PG,78,78,2871,36.80769231,672,1373,0.489439184,16,60,0.266666667,656,1313,0.499619193,259,338,0.766272189,65,228,469,57,27,217,2.161290323,96,1619,20.75641026,85
1518,Steve,Nash,35,2009,PHO,PG,81,81,2660,32.83950617,499,985,0.506598985,124,291,0.426116838,375,694,0.540345821,211,225,0.937777778,34,234,892,42,12,295,3.023728814,108,1333,16.45679012,85
1519,Jason,Kidd,36,2009,DAL,PG,80,80,2881,36.0125,284,671,0.423248882,176,414,0.425120773,108,257,0.420233463,80,99,0.808080808,48,397,724,145,35,195,3.712820513,142,824,10.3,83
1520,Chauncey,Billups,33,2009,DEN,PG,73,73,2490,34.10958904,402,962,0.417879418,157,407,0.385749386,245,555,0.441441441,466,512,0.91015625,25,203,409,82,9,177,2.310734463,153,1427,19.54794521,83
1521,Gilbert,Arenas,28,2009,WAS,PG,32,32,1169,36.53125,253,616,0.410714286,63,181,0.348066298,190,435,0.436781609,153,207,0.739130435,17,116,230,41,9,117,1.965811966,95,722,22.5625,83
1522,Russell,Westbrook,21,2009,OKC,PG,82,82,2813,34.30487805,485,1160,0.418103448,23,104,0.221153846,462,1056,0.4375,329,422,0.779620853,143,258,652,108,34,268,2.432835821,204,1322,16.12195122,81
1523,Stephen,Curry,21,2009,GSW,PG,80,77,2896,36.2,528,1143,0.461942257,166,380,0.436842105,362,763,0.474442988,177,200,0.885,48,308,472,152,19,243,1.942386831,252,1399,17.4875,80
1524,Aaron,Brooks,25,2009,HOU,PG,82,82,2919,35.59756098,575,1331,0.432006011,209,525,0.398095238,366,806,0.454094293,245,298,0.822147651,54,161,434,69,14,232,1.870689655,199,1604,19.56097561,80
1525,Darren,Collison,22,2009,NOH,PG,76,37,2109,27.75,376,789,0.476552598,46,115,0.4,330,674,0.489614243,148,174,0.850574713,41,151,432,78,4,202,2.138613861,92,946,12.44736842,80
1526,Baron,Davis,30,2009,LAC,PG,75,73,2523,33.64,412,1015,0.40591133,82,296,0.277027027,330,719,0.458970793,239,291,0.821305842,52,214,598,126,43,211,2.834123223,210,1145,15.26666667,79
1527,Devin,Harris,26,2009,NJN,PG,64,61,2221,34.703125,356,884,0.402714932,60,217,0.276497696,296,667,0.443778111,308,386,0.797927461,24,179,423,79,18,181,2.337016575,178,1080,16.875,78
1528,Tony,Parker,27,2009,SAS,PG,56,50,1728,30.85714286,349,716,0.487430168,10,34,0.294117647,339,682,0.497067449,186,246,0.756097561,7,128,317,29,8,149,2.127516779,96,894,15.96428571,78
