,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
1851,Chris,Paul,25,2010,NOH,PG,80,80,2880,36.0,430,928,0.463362069,71,183,0.387978142,359,745,0.481879195,337,384,0.877604167,38,289,782,188,5,177,4.418079096,196,1268,15.85,94
1852,Derrick,Rose,22,2010,CHI,PG,81,81,3026,37.35802469,711,1597,0.445209768,128,385,0.332467532,583,1212,0.481023102,476,555,0.857657658,81,249,623,85,51,278,2.241007194,136,2026,25.01234568,92
1853,Rajon,Rondo,24,2010,BOS,PG,68,68,2527,37.16176471,318,670,0.474626866,10,43,0.23255814,308,627,0.49122807,75,132,0.568181818,87,210,760,153,11,234,3.247863248,120,721,10.60294118,86
1854,Russell,Westbrook,22,2010,OKC,PG,82,82,2847,34.7195122,614,1390,0.441726619,34,103,0.330097087,580,1287,0.450660451,531,631,0.841521395,121,258,670,155,30,316,2.120253165,207,1793,21.86585366,85
1855,Deron,Williams,26,2010,NJN,PG,65,65,2465,37.92307692,428,975,0.438974359,105,317,0.331230284,323,658,0.490881459,348,412,0.844660194,40,220,667,79,15,230,2.9,190,1309,20.13846154,85
1856,Steve,Nash,36,2010,PHO,PG,75,75,2497,33.29333333,399,811,0.491985203,81,205,0.395121951,318,606,0.524752475,227,249,0.911646586,40,220,855,48,4,265,3.226415094,87,1106,14.74666667,84
1857,Tony,Parker,28,2010,SAS,PG,78,78,2528,32.41025641,555,1069,0.519176801,25,70,0.357142857,530,999,0.530530531,233,303,0.768976898,30,208,513,90,3,200,2.565,135,1368,17.53846154,82
1858,Stephen,Curry,22,2010,GSW,PG,74,74,2489,33.63513514,505,1053,0.479582146,151,342,0.441520468,354,711,0.497890295,212,227,0.933920705,52,234,432,109,20,226,1.911504425,233,1373,18.55405405,81
1859,Jeremy,Lin,22,2010,GSW,PG,29,0,285,9.827586207,28,72,0.388888889,1,5,0.2,27,67,0.402985075,19,25,0.76,12,22,42,33,9,18,2.333333333,31,76,2.620689655,81
1860,Kyle,Lowry,24,2010,HOU,PG,75,71,2563,34.17333333,345,809,0.42645241,129,343,0.376093294,216,466,0.463519313,192,251,0.764940239,89,220,500,102,23,158,3.164556962,207,1011,13.48,80
1861,Ty,Lawson,23,2010,DEN,PG,80,31,2103,26.2875,346,688,0.502906977,69,171,0.403508772,277,517,0.535783366,172,225,0.764444444,67,142,377,80,4,137,2.751824818,133,933,11.6625,80
1862,Brandon,Jennings,21,2010,MIL,PG,63,61,2169,34.42857143,361,926,0.389848812,98,303,0.323432343,263,623,0.422150883,199,246,0.808943089,42,192,305,95,21,146,2.089041096,131,1019,16.17460317,80
