,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
853,Allen,Iverson,29,2004,PHI,PG,75,75,3174,42.32,771,1818,0.424092409,104,338,0.307692308,667,1480,0.450675676,656,786,0.834605598,51,248,596,180,9,344,1.73255814,140,2302,30.69333333,97
854,Steve,Nash,30,2004,PHO,PG,75,75,2573,34.30666667,430,857,0.501750292,94,218,0.431192661,336,639,0.525821596,211,238,0.886554622,57,192,861,74,6,245,3.514285714,136,1165,15.53333333,93
855,Jason,Kidd,31,2004,NJN,PG,66,65,2435,36.89393939,340,855,0.397660819,129,358,0.360335196,211,497,0.424547284,142,192,0.739583333,94,394,545,123,9,167,3.263473054,110,951,14.40909091,93
856,Gilbert,Arenas,23,2004,WAS,PG,80,80,3274,40.925,656,1523,0.430728825,205,562,0.364768683,451,961,0.46930281,521,640,0.8140625,83,295,411,139,23,242,1.698347107,245,2038,25.475,92
857,Chauncey,Billups,28,2004,DET,PG,80,80,2866,35.825,404,913,0.442497262,165,387,0.426356589,239,526,0.454372624,343,382,0.897905759,48,223,464,81,9,180,2.577777778,194,1316,16.45,92
858,Baron,Davis,25,2004,GSW,PG,46,32,1581,34.36956522,291,752,0.386968085,118,354,0.333333333,173,398,0.434673367,185,243,0.761316872,32,143,362,81,14,131,2.763358779,126,885,19.23913043,90
859,Stephon,Marbury,27,2004,NYK,PG,82,82,3281,40.01219512,604,1308,0.4617737,115,325,0.353846154,489,983,0.497456765,458,549,0.83424408,50,198,668,122,6,233,2.86695279,186,1781,21.7195122,89
860,Tony,Parker,22,2004,SAS,PG,80,80,2735,34.1875,539,1118,0.482110912,43,156,0.275641026,496,962,0.515592516,210,323,0.650154799,47,251,491,98,4,215,2.28372093,167,1331,16.6375,88
861,Mike,Bibby,26,2004,SAC,PG,80,80,3084,38.55,560,1264,0.443037975,131,364,0.35989011,429,900,0.476666667,320,413,0.774818402,77,255,541,124,30,203,2.665024631,191,1571,19.6375,88
862,Steve,Francis,27,2004,ORL,PG,78,78,2978,38.17948718,563,1330,0.423308271,38,127,0.299212598,525,1203,0.436408978,499,606,0.823432343,126,324,547,112,28,317,1.72555205,273,1663,21.32051282,86
863,Andre,Miller,28,2004,DEN,PG,82,82,2852,34.7804878,427,895,0.477094972,6,39,0.153846154,421,856,0.49182243,253,302,0.837748344,100,238,569,121,8,220,2.586363636,204,1113,13.57317073,86
864,Jason,Terry,27,2004,DAL,PG,80,57,2401,30.0125,372,743,0.500672948,103,245,0.420408163,269,498,0.540160643,146,173,0.843930636,38,150,429,109,15,147,2.918367347,177,993,12.4125,85
865,Sam,Cassell,35,2004,MIN,PG,59,38,1522,25.79661017,319,687,0.4643377,27,103,0.262135922,292,584,0.5,134,155,0.864516129,25,132,301,36,14,109,2.76146789,160,799,13.54237288,84
866,Kirk,Hinrich,24,2004,CHI,PG,77,77,2800,36.36363636,445,1122,0.396613191,145,408,0.355392157,300,714,0.420168067,171,216,0.791666667,32,272,494,122,21,176,2.806818182,244,1206,15.66233766,84
867,Mike,James,29,2004,HOU,PG,74,5,1859,25.12162162,331,751,0.440745672,100,259,0.386100386,231,492,0.469512195,109,145,0.751724138,35,173,263,65,6,106,2.481132075,174,871,11.77027027,83
868,Jason,Williams,29,2004,MEM,PG,71,68,1952,27.49295775,266,644,0.413043478,107,330,0.324242424,159,314,0.506369427,80,101,0.792079208,19,103,399,75,5,130,3.069230769,91,719,10.12676056,83
869,Luke,Ridnour,23,2004,SEA,PG,82,82,2571,31.35365854,299,739,0.404600812,67,178,0.376404494,232,561,0.413547237,159,180,0.883333333,55,149,483,94,23,149,3.241610738,185,824,10.04878049,83
870,Jameer,Nelson,22,2004,ORL,PG,79,21,1612,20.40506329,286,628,0.455414013,44,141,0.312056738,242,487,0.496919918,73,107,0.682242991,52,141,237,78,3,117,2.025641026,199,689,8.721518987,83
871,Earl,Boykins,28,2004,DEN,PG,82,5,2162,26.36585366,340,824,0.412621359,56,166,0.337349398,284,658,0.431610942,279,303,0.920792079,37,106,372,78,12,121,3.074380165,122,1015,12.37804878,83
872,Brevin,Knight,29,2004,CHA,PG,66,61,1944,29.45454545,248,587,0.422487223,3,20,0.15,245,567,0.432098765,167,196,0.852040816,21,149,591,131,5,147,4.020408163,192,666,10.09090909,82
873,Delonte,West,21,2004,BOS,SG,39,7,507,13.0,66,155,0.425806452,24,67,0.358208955,42,88,0.477272727,19,27,0.703703704,14,51,53,21,8,24,2.208333333,69,175,4.487179487,82
874,Jamaal,Tinsley,26,2004,IND,PG,40,40,1301,32.525,218,522,0.417624521,58,156,0.371794872,160,366,0.43715847,122,164,0.743902439,26,134,257,81,12,134,1.917910448,112,616,15.4,82
