,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
180,Jason,Kidd,29,2002,NJN,PG,80,80,2989,37.3625,515,1244,0.413987138,126,370,0.340540541,389,874,0.445080092,339,403,0.841191067,110,394,711,179,25,296,2.402027027,127,1495,18.6875,94
181,Baron,Davis,23,2002,NOH,PG,50,47,1889,37.78,332,798,0.4160401,99,283,0.349823322,233,515,0.452427184,93,131,0.709923664,56,130,320,91,22,140,2.285714286,148,856,17.12,94
182,Stephon,Marbury,25,2002,PHO,PG,81,81,3240,40.0,671,1530,0.438562092,89,296,0.300675676,582,1234,0.471636953,375,467,0.802997859,53,210,654,108,20,263,2.486692015,200,1806,22.2962963,90
183,Sam,Cassell,33,2002,MIL,PG,78,77,2700,34.61538462,546,1162,0.469879518,59,163,0.36196319,487,999,0.487487487,385,447,0.861297539,57,285,450,88,14,177,2.542372881,216,1536,19.69230769,90
184,Steve,Francis,25,2002,HOU,PG,81,81,3318,40.96296296,571,1312,0.435213415,85,240,0.354166667,486,1072,0.453358209,476,595,0.8,159,340,502,141,41,299,1.678929766,251,1703,21.02469136,88
185,Steve,Nash,28,2002,DAL,PG,82,82,2711,33.06097561,518,1114,0.464991023,111,269,0.412639405,407,845,0.481656805,308,339,0.908554572,63,171,598,85,6,192,3.114583333,134,1455,17.74390244,88
186,Mike,Bibby,24,2002,SAC,PG,55,55,1835,33.36363636,329,700,0.47,56,137,0.408759124,273,563,0.484902309,161,187,0.860962567,34,113,285,72,8,127,2.244094488,93,875,15.90909091,86
187,Andre,Miller,26,2002,LAC,PG,80,80,2913,36.4125,377,928,0.40625,23,108,0.212962963,354,820,0.431707317,311,391,0.795396419,84,232,537,99,11,206,2.606796117,203,1088,13.6,83
188,Chauncey,Billups,26,2002,DET,PG,74,74,2327,31.44594595,366,870,0.420689655,149,380,0.392105263,217,490,0.442857143,318,362,0.878453039,38,235,287,63,15,134,2.141791045,136,1199,16.2027027,83
189,Gilbert,Arenas,21,2002,GSW,PG,82,82,2866,34.95121951,509,1180,0.431355932,109,313,0.348242812,400,867,0.461361015,370,468,0.790598291,97,289,514,124,17,290,1.772413793,260,1497,18.25609756,83
190,Jason,Terry,25,2002,ATL,PG,81,81,3081,38.03703704,488,1141,0.427695004,160,431,0.371229698,328,710,0.461971831,259,292,0.886986301,37,242,600,126,14,249,2.409638554,175,1395,17.22222222,82
191,Jason,Williams,27,2002,MEM,PG,76,76,2407,31.67105263,333,859,0.38766007,143,404,0.353960396,190,455,0.417582418,110,131,0.839694656,25,187,631,91,10,168,3.755952381,130,919,12.09210526,81
192,Brent,Barry,31,2002,SEA,SG,75,68,2480,33.06666667,264,577,0.457538995,118,293,0.402730375,146,284,0.514084507,128,161,0.795031056,48,253,384,113,15,142,2.704225352,199,774,10.32,80
193,Bobby,Jackson,29,2002,SAC,PG,59,26,1676,28.40677966,340,732,0.464480874,89,235,0.378723404,251,497,0.505030181,126,149,0.845637584,57,162,182,71,3,106,1.716981132,126,895,15.16949153,80
194,Nick,Van,31,2002,DAL,SG,73,1,2026,27.75342466,342,831,0.411552347,118,312,0.378205128,224,519,0.431599229,110,144,0.763888889,35,173,312,42,4,123,2.536585366,86,912,12.49315068,79
195,Damon,Stoudamire,29,2002,POR,PG,59,27,1315,22.28813559,156,415,0.375903614,44,114,0.385964912,112,301,0.372093023,53,67,0.791044776,40,115,204,39,6,82,2.487804878,67,409,6.93220339,78
196,Tony,Parker,20,2002,SAS,PG,82,82,2774,33.82926829,484,1043,0.464046021,82,243,0.33744856,402,800,0.5025,219,290,0.755172414,33,183,432,71,4,198,2.181818182,174,1269,15.47560976,78
197,Eric,Snow,29,2002,PHI,PG,82,82,3108,37.90243902,361,799,0.451814768,7,32,0.21875,354,767,0.461538462,325,379,0.857519789,71,230,544,133,11,194,2.804123711,235,1054,12.85365854,76
198,Jay,Williams,21,2002,CHI,PG,75,54,1961,26.14666667,273,685,0.398540146,65,202,0.321782178,208,483,0.430641822,103,161,0.639751553,27,168,350,86,17,171,2.046783626,179,714,9.52,76
199,Jeff,McInnis,28,2002,POR,PG,75,1,1311,17.48,188,423,0.444444444,6,35,0.171428571,182,388,0.469072165,50,67,0.746268657,22,75,170,21,2,75,2.266666667,117,432,5.76,75
200,Carlos,Arroyo,23,2002,UTA,PG,44,0,287,6.522727273,50,109,0.458715596,3,7,0.428571429,47,102,0.460784314,18,22,0.818181818,11,15,53,12,1,30,1.766666667,28,121,2.75,75
201,Darrell,Armstrong,34,2002,ORL,PG,82,23,2350,28.65853659,263,643,0.409020218,78,232,0.336206897,185,411,0.450121655,165,188,0.877659574,91,204,323,135,13,160,2.01875,167,769,9.37804878,75
202,Antonio,Daniels,27,2002,POR,SG,67,2,872,13.01492537,84,186,0.451612903,18,59,0.305084746,66,127,0.519685039,65,76,0.855263158,11,61,85,33,9,32,2.65625,43,251,3.746268657,75
203,Troy,Hudson,26,2002,MIN,PG,79,74,2600,32.91139241,409,956,0.427824268,97,266,0.364661654,312,690,0.452173913,208,231,0.9004329,42,141,452,60,7,182,2.483516484,160,1123,14.21518987,75
204,Speedy,Claxton,24,2002,SAS,PG,30,0,471,15.7,67,145,0.462068966,0,11,0.0,67,134,0.5,39,57,0.684210526,22,34,75,22,7,35,2.142857143,43,173,5.766666667,74
205,Marko,Jaric,24,2002,LAC,SF,66,12,1379,20.89393939,179,446,0.401345291,53,166,0.319277108,126,280,0.45,79,105,0.752380952,35,125,193,97,11,103,1.873786408,125,490,7.424242424,73
206,Rafer,Alston,26,2002,TOR,PG,47,4,980,20.85106383,139,335,0.414925373,51,130,0.392307692,88,205,0.429268293,37,54,0.685185185,21,86,192,38,15,86,2.23255814,120,366,7.787234043,73
207,Jamaal,Tinsley,24,2002,IND,PG,73,69,2237,30.64383562,220,556,0.395683453,46,166,0.277108434,174,390,0.446153846,80,112,0.714285714,58,202,548,125,18,192,2.854166667,201,566,7.753424658,73
208,Alvin,Williams,28,2002,TOR,PG,78,78,2638,33.82051282,396,905,0.437569061,48,146,0.328767123,348,759,0.458498024,187,239,0.782426778,55,190,416,111,21,128,3.25,170,1027,13.16666667,73
209,Chucky,Atkins,28,2002,DET,PG,65,7,1398,21.50769231,168,465,0.361290323,86,242,0.355371901,82,223,0.367713004,40,49,0.816326531,21,75,175,27,4,77,2.272727273,108,462,7.107692308,72
210,Earl,Boykins,26,2002,GSW,PG,68,0,1321,19.42647059,199,464,0.42887931,29,77,0.376623377,170,387,0.439276486,173,200,0.865,35,53,221,38,4,73,3.02739726,75,600,8.823529412,72
211,Anthony,Johnson,28,2002,NJN,PG,66,2,842,12.75757576,103,231,0.445887446,13,35,0.371428571,90,196,0.459183673,51,74,0.689189189,13,65,86,37,5,41,2.097560976,93,270,4.090909091,72
212,Mike,James,27,2002,MIA,PG,78,8,1722,22.07692308,218,585,0.372649573,67,228,0.293859649,151,357,0.422969188,104,142,0.732394366,26,123,246,64,5,108,2.277777778,176,607,7.782051282,71
213,Derek,Fisher,28,2002,LAL,PG,82,82,2829,34.5,339,775,0.437419355,85,212,0.400943396,254,563,0.451154529,100,125,0.8,40,199,298,93,15,94,3.170212766,195,863,10.52439024,71
214,Kenny,Anderson,32,2002,NOH,PG,61,2,1135,18.60655738,163,382,0.426701571,1,7,0.142857143,162,375,0.432,45,57,0.789473684,31,101,198,58,5,75,2.64,106,372,6.098360656,71
215,Tyronn,Lue,25,2002,WAS,PG,75,24,1986,26.48,248,573,0.432809773,60,176,0.340909091,188,397,0.473551637,91,104,0.875,22,127,263,47,1,77,3.415584416,151,647,8.626666667,70
216,Charlie,Ward,32,2002,NYK,PG,66,6,1465,22.1969697,165,414,0.398550725,101,267,0.378277154,64,147,0.43537415,41,53,0.773584906,25,152,306,78,11,95,3.221052632,146,472,7.151515152,70
217,Damon,Jones,26,2002,SAC,PG,49,1,709,14.46938776,80,210,0.380952381,44,121,0.363636364,36,89,0.404494382,20,27,0.740740741,11,59,80,18,4,23,3.47826087,42,224,4.571428571,70
218,Brevin,Knight,27,2002,MEM,PG,55,4,928,16.87272727,97,228,0.425438596,2,8,0.25,95,220,0.431818182,20,37,0.540540541,15,66,233,69,2,94,2.478723404,123,216,3.927272727,70
219,Travis,Best,30,2002,MIA,PG,72,52,1807,25.09722222,231,583,0.396226415,36,109,0.330275229,195,474,0.411392405,105,123,0.853658537,26,121,255,44,7,106,2.405660377,174,603,8.375,70
220,Frank,Williams,22,2002,NYK,PG,21,0,167,7.952380952,9,33,0.272727273,6,16,0.375,3,17,0.176470588,4,6,0.666666667,3,15,34,7,2,17,2.0,20,28,1.333333333,70
221,Earl,Watson,23,2002,MEM,PG,79,2,1366,17.29113924,170,391,0.434782609,31,91,0.340659341,139,300,0.463333333,62,86,0.720930233,46,118,225,89,14,88,2.556818182,138,433,5.481012658,69
222,Rod,Strickland,36,2002,MIN,PG,47,8,956,20.34042553,120,278,0.431654676,1,11,0.090909091,119,267,0.445692884,79,107,0.738317757,20,75,215,46,6,76,2.828947368,55,320,6.808510638,69
223,Erick,Strickland,29,2002,IND,SG,71,10,1275,17.95774648,163,380,0.428947368,62,160,0.3875,101,220,0.459090909,70,87,0.804597701,23,122,209,38,7,98,2.132653061,111,458,6.450704225,69
224,Moochie,Norris,29,2002,HOU,PG,82,3,1375,16.76829268,134,330,0.406060606,11,45,0.244444444,123,285,0.431578947,78,114,0.684210526,37,122,196,55,4,86,2.279069767,72,357,4.353658537,69
225,Tim,Hardaway,36,2002,IND,PG,10,0,127,12.7,18,49,0.367346939,11,31,0.35483871,7,18,0.388888889,2,4,0.5,1,14,24,9,0,11,2.181818182,8,49,4.9,68
226,Howard,Eisley,30,2002,NYK,PG,82,76,2243,27.35365854,262,628,0.417197452,131,337,0.388724036,131,291,0.450171821,89,105,0.847619048,24,162,444,71,9,149,2.979865772,222,744,9.073170732,67
227,John,Salmons,23,2002,PHI,PG,64,1,504,7.875,48,116,0.413793103,10,31,0.322580645,38,85,0.447058824,26,35,0.742857143,16,43,47,17,6,29,1.620689655,53,132,2.0625,67
228,Shammond,Williams,27,2002,DEN,PG,78,11,1881,24.11538462,228,579,0.393782383,93,261,0.356321839,135,318,0.424528302,78,102,0.764705882,24,147,266,77,6,114,2.333333333,140,627,8.038461538,67
229,Lindsey,Hunter,32,2002,TOR,PG,29,0,673,23.20689655,106,302,0.350993377,34,107,0.317757009,72,195,0.369230769,34,47,0.723404255,15,44,71,35,5,57,1.245614035,50,280,9.655172414,66
