,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
693,Matt,Barnes,23,2003,LAC,SF,38,9,724,19.05263158,63,138,0.456521739,2,13,0.153846154,61,125,0.488,43,61,0.704918033,53,98,48,27,3,44,1.090909091,76,171,4.5,68
694,Stacey,Augmon,35,2003,NOH,SF,69,24,1416,20.52173913,143,347,0.412103746,1,7,0.142857143,142,340,0.417647059,110,139,0.791366906,52,122,85,55,15,76,1.118421053,114,397,5.753623188,68
695,Bostjan,Nachbar,23,2003,HOU,SF,45,3,516,11.46666667,47,132,0.356060606,23,63,0.365079365,24,69,0.347826087,21,29,0.724137931,8,62,30,14,14,23,1.304347826,72,138,3.066666667,68
696,Nikoloz,Tskitishvili,20,2003,DEN,PF,39,0,307,7.871794872,40,122,0.327868852,3,11,0.272727273,37,111,0.333333333,23,29,0.793103448,24,39,10,6,8,17,0.588235294,50,106,2.717948718,68
697,Ansu,Sesay,27,2003,SEA,SF,57,2,583,10.22807018,81,178,0.45505618,6,21,0.285714286,75,157,0.477707006,32,46,0.695652174,43,49,19,19,20,23,0.826086957,66,200,3.50877193,68
698,Ira,Newble,29,2003,CLE,SF,64,25,1245,19.453125,108,276,0.391304348,2,19,0.105263158,106,257,0.412451362,36,46,0.782608696,65,90,72,25,19,54,1.333333333,109,254,3.96875,68
699,Darvin,Ham,30,2003,DET,SF,54,2,484,8.962962963,37,75,0.493333333,1,2,0.5,36,73,0.493150685,21,35,0.6,47,46,16,13,8,31,0.516129032,63,96,1.777777778,67
700,Tamar,Slay,23,2003,NJN,SG,22,0,165,7.5,21,60,0.35,4,12,0.333333333,17,48,0.354166667,7,14,0.5,10,15,14,7,1,11,1.272727273,20,53,2.409090909,67
701,Ndudi,Ebi,19,2003,MIN,SF,17,0,32,1.882352941,6,14,0.428571429,0,0,0.0,6,14,0.428571429,1,4,0.25,2,1,3,0,4,3,1.0,6,13,0.764705882,66
702,Michael,Curry,35,2003,TOR,SF,70,15,1229,17.55714286,76,196,0.387755102,3,15,0.2,73,181,0.403314917,49,58,0.844827586,22,65,53,23,5,48,1.104166667,153,204,2.914285714,66
