,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
1208,Chris,Paul,23,2008,NOH,PG,78,78,3002,38.48717949,631,1255,0.502788845,64,176,0.363636364,567,1079,0.525486562,455,524,0.868320611,69,363,861,216,10,231,3.727272727,212,1781,22.83333333,94
1209,Deron,Williams,24,2008,UTA,PG,68,68,2505,36.83823529,463,984,0.470528455,70,226,0.309734513,393,758,0.518469657,326,384,0.848958333,24,171,725,73,20,228,3.179824561,134,1322,19.44117647,89
1210,Rajon,Rondo,22,2008,BOS,PG,80,80,2642,33.025,383,759,0.504611331,15,48,0.3125,368,711,0.517580872,172,268,0.641791045,100,316,659,149,11,209,3.153110048,193,953,11.9125,87
1211,Devin,Harris,25,2008,NJN,PG,69,69,2494,36.14492754,455,1039,0.437921078,64,220,0.290909091,391,819,0.477411477,496,605,0.819834711,30,201,476,114,13,212,2.245283019,164,1470,21.30434783,86
1212,Chauncey,Billups,32,2008,DEN,PG,79,79,2789,35.30379747,410,980,0.418367347,162,397,0.408060453,248,583,0.425385935,418,458,0.912663755,32,207,506,93,18,177,2.858757062,161,1400,17.72151899,85
1213,Tony,Parker,26,2008,SAS,PG,72,71,2456,34.11111111,639,1263,0.505938242,19,65,0.292307692,620,1198,0.517529215,284,363,0.782369146,27,196,496,67,4,186,2.666666667,110,1581,21.95833333,84
1214,Gilbert,Arenas,27,2008,WAS,PG,2,2,63,31.5,6,23,0.260869565,2,7,0.285714286,4,16,0.25,12,16,0.75,1,8,20,0,1,1,20.0,4,26,13.0,84
1215,Baron,Davis,29,2008,LAC,PG,65,60,2248,34.58461538,355,959,0.370177268,99,328,0.301829268,256,631,0.40570523,159,210,0.757142857,46,192,501,108,35,193,2.595854922,193,968,14.89230769,82
1216,Steve,Nash,34,2008,PHO,PG,74,74,2484,33.56756757,428,851,0.50293772,108,246,0.43902439,320,605,0.52892562,196,210,0.933333333,19,204,717,55,10,248,2.891129032,108,1160,15.67567568,80
1217,Derrick,Rose,20,2008,CHI,PG,81,80,3000,37.03703704,574,1208,0.475165563,16,72,0.222222222,558,1136,0.491197183,197,250,0.788,96,221,512,66,18,202,2.534653465,125,1361,16.80246914,80
1218,Jason,Kidd,35,2008,DAL,PG,81,81,2886,35.62962963,257,618,0.415857605,131,323,0.405572755,126,295,0.427118644,86,105,0.819047619,85,415,702,160,39,185,3.794594595,168,731,9.024691358,80
1219,Jameer,Nelson,26,2008,ORL,PG,42,42,1309,31.16666667,267,531,0.502824859,82,181,0.453038674,185,350,0.528571429,86,97,0.886597938,20,125,226,51,3,83,2.722891566,123,702,16.71428571,79
