,first_name,last_name,age,year,team,position,games_played,games_started,minutes_played,minutes_per_game,field_goals_made,field_goals_attempted,field_goal_percentage,three_point_field_goals_made,three_point_field_goals_attempted,three_point_field_goal_percentage,two_point_field_goals_made,two_point_field_goals_attempted,two_point_field_goal_percentage,free_throws_made,free_throws_attempted,free_throw_percentage,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,asisst_to_turnover_ratio,personal_fouls,points,points_per_game,rating
0,Jason,Kidd,28,2001,NJN,PG,82,82,3056,37.26829268,445,1138,0.391036907,117,364,0.321428571,328,774,0.42377261,201,247,0.813765182,130,465,808,175,20,286,2.825174825,136,1208,14.73170732,94
1,Baron,Davis,22,2001,CHH,PG,82,82,3318,40.46341463,559,1341,0.416853095,170,478,0.355648536,389,863,0.450753187,196,338,0.579881657,93,256,698,172,47,246,2.837398374,241,1484,18.09756098,91
2,Stephon,Marbury,24,2001,PHO,PG,82,80,3187,38.86585366,625,1413,0.442321302,71,248,0.286290323,554,1165,0.475536481,353,452,0.780973451,75,191,666,77,13,284,2.345070423,186,1674,20.41463415,88
3,Steve,Francis,24,2001,HOU,PG,57,56,2343,41.10526316,420,1007,0.417080437,68,210,0.323809524,352,797,0.441656211,326,422,0.772511848,102,299,362,71,25,221,1.63800905,172,1234,21.64912281,87
4,Andre,Miller,25,2001,CLE,PG,81,81,3023,37.32098765,474,1045,0.453588517,22,87,0.252873563,452,958,0.471816284,365,447,0.81655481,108,271,882,126,34,245,3.6,228,1335,16.48148148,85
5,John,Stockton*,39,2001,UTA,PG,82,82,2566,31.29268293,401,775,0.517419355,25,78,0.320512821,376,697,0.539454806,275,321,0.856697819,59,204,674,152,24,208,3.240384615,209,1102,13.43902439,85
6,Mike,Bibby,23,2001,SAC,PG,80,80,2659,33.2375,446,985,0.452791878,51,138,0.369565217,395,847,0.46635183,155,193,0.803108808,37,185,403,87,15,134,3.007462687,133,1098,13.725,85
7,Steve,Nash,27,2001,DAL,PG,82,82,2837,34.59756098,525,1088,0.482536765,156,343,0.454810496,369,745,0.495302013,260,293,0.887372014,50,204,634,53,4,229,2.768558952,164,1466,17.87804878,84
8,Sam,Cassell,32,2001,MIL,PG,74,73,2605,35.2027027,554,1197,0.462823726,71,204,0.348039216,483,993,0.486404834,282,328,0.859756098,54,258,493,90,12,177,2.785310734,208,1461,19.74324324,84
9,Gilbert,Arenas,20,2001,GSW,PG,47,30,1155,24.57446809,174,384,0.453125,39,113,0.345132743,135,271,0.498154982,124,160,0.775,41,91,174,69,11,97,1.793814433,115,511,10.87234043,82
